"","ISO3","NAMEfr","NAMEen","name","gdp","source"
"83","IDN","Indonésie","Indonesia","Indonesia","1167.1800000000001","IMF (2021)"
"84","IMN","Île de Man","Isle of Man",NA,"7.49196931287525","World Bank (2018)"
"85","IND","Inde","India","India","2833.8739999999998","IMF (2021)"
"86","IRL","Irlande","Ireland","Ireland","457.51499999999999","IMF (2021)"
"87","IRN","Iran","Iran","Iran","651.70699999999999","IMF (2021)"
"88","IRQ","Irak","Iraq","Iraq","196.26900000000001","IMF (2021)"
"89","ISL","Islande","Iceland","Iceland","21.579999999999998","IMF (2021)"
"90","ISR","Israël","Israel","Israel","408.51299999999998","IMF (2021)"
"91","ITA","Italie","Italy","Italy","2111.6489999999999","IMF (2021)"
"92","JAM","Jamaïque","Jamaica","Jamaica","15.372","IMF (2021)"
"93","JEY","Jersey","Jersey",NA,NA,NA
"94","JOR","Jordanie","Jordan","Jordan","44.863","IMF (2021)"
"95","JPN","Japon","Japan","Japan","5103.1750000000002","IMF (2021)"
"96","KAZ","Kazakhstan","Kazakhstan","Kazakhstan","180.71600000000001","IMF (2021)"
"97","KEN","Kenya","Kenya","Kenya","105.681","IMF (2021)"
"98","KGZ","Kirghizistan","Kyrgyzstan","Kyrgyz Republic","8.4510000000000005","IMF (2021)"
"99","KHM","Cambodge","Cambodia","Cambodia","28.547000000000001","IMF (2021)"
"100","KIR","Kiribati","Kiribati","Kiribati","0.219","IMF (2021)"
"101","KNA","Saint-Christophe-et-Niévès","Saint Kitts and Nevis","Saint Kitts and Nevis","0.95199999999999996","IMF (2021)"
"102","KOR","Corée du Sud","South Korea","Korea, Republic of","1674.1120000000001","IMF (2021)"
"103","KOS","Kosovo","Kosovo",NA,NA,NA
"104","KWT","Koweït","Kuwait","Kuwait","116.13","IMF (2021)"
"105","LAO","Laos","Laos","Lao P.D.R.","19.268999999999998","IMF (2021)"
"106","LBN","Liban","Lebanon","Lebanon","51.9916344916345","World Bank (2019)"
"107","LBR","Libéria","Liberia","Liberia","3.1099999999999999","IMF (2021)"
"108","LBY","Libye","Libya","Libya","31.757000000000001","IMF (2021)"
"109","LCA","Sainte-Lucie","Saint Lucia","Saint Lucia","1.9370000000000001","IMF (2021)"
"110","LIE","Liechtenstein","Liechtenstein",NA,"6.87698128643011","World Bank (2018)"
"111","LKA","Sri Lanka","Sri Lanka","Sri Lanka","86.686000000000007","IMF (2021)"
"112","LSO","Lesotho","Lesotho","Lesotho","2.125","IMF (2021)"
"113","LTU","Lituanie","Lithuania","Lithuania","62.661999999999999","IMF (2021)"
"114","LUX","Luxembourg","Luxembourg","Luxembourg","80.387","IMF (2021)"
"115","LVA","Lettonie","Latvia","Latvia","38.119","IMF (2021)"
"116","MAC","Macao","Macau","Macao SAR","33.024000000000001","IMF (2021)"
"117","MAR","Maroc","Morocco","Morocco","123.776","IMF (2021)"
"118","MCO","Monaco","Monaco",NA,"7.18823807274445","World Bank (2018)"
"119","MDA","Moldavie","Moldova","Moldova","11.712","IMF (2021)"
