id,fij
5500,483
5501,11177
906,5202
910,5330
911,1537
912,351
913,715
914,6625
915,864
916,641
918,1114
920,6856
922,13809
923,10462
924,2051
925,3127
926,2974
927,667
928,7
931,6160
954,21
957,19
