"","ETOPO1_Ice_g_geotiff","X","Y"
"151",329,-41.6749999995385,85.0083333339907
"152",1158,-38.3416666662021,85.0083333339907
"153",1465,-35.0083333328656,85.0083333339907
"154",1464,-31.6749999995292,85.0083333339907
"155",1012,-28.3416666661928,85.0083333339907
"156",307,-25.0083333328564,85.0083333339907
"242",1,-101.674999999594,81.6750000006512
"243",141,-98.3416666662577,81.6750000006512
"244",1421,-95.0083333329212,81.6750000006512
"245",1698,-91.6749999995848,81.6750000006512
"246",1075,-88.3416666662484,81.6750000006512
"247",1576,-85.008333332912,81.6750000006512
"248",1891,-81.6749999995755,81.6750000006512
"249",2240,-78.3416666662391,81.6750000006512
"250",2364,-75.0083333329027,81.6750000006512
"251",2148,-71.6749999995663,81.6750000006512
"252",1774,-68.3416666662299,81.6750000006512
"253",1530,-65.0083333328934,81.6750000006512
"254",1127,-61.674999999557,81.6750000006512
"255",1391,-58.3416666662206,81.6750000006512
"256",1582,-55.0083333328842,81.6750000006512
"257",1882,-51.6749999995477,81.6750000006512
"258",2012,-48.3416666662113,81.6750000006512
"259",2129,-45.0083333328749,81.6750000006512
"260",2152,-41.6749999995385,81.6750000006512
"261",2117,-38.3416666662021,81.6750000006512
"262",1997,-35.0083333328656,81.6750000006512
"263",1838,-31.6749999995292,81.6750000006512
"264",1587,-28.3416666661928,81.6750000006512
"265",1035,-25.0083333328564,81.6750000006512
"266",1230,-21.6749999995199,81.6750000006512
"267",1289,-18.3416666661835,81.6750000006512
"268",789,-15.0083333328471,81.6750000006512
"269",584,-11.6749999995107,81.6750000006512
"277",71,14.9916666671807,81.6750000006512
"278",516,18.3250000005171,81.6750000006512
"279",618,21.6583333338535,81.6750000006512
"280",549,24.99166666719,81.6750000006512
"281",274,28.3250000005264,81.6750000006512
"282",262,31.6583333338628,81.6750000006512
"283",261,34.9916666671992,81.6750000006512
"284",72,38.3250000005357,81.6750000006512
"286",383,44.9916666672085,81.6750000006512
"287",481,48.3250000005449,81.6750000006512
"288",533,51.6583333338813,81.6750000006512
"289",445,54.9916666672178,81.6750000006512
"290",569,58.3250000005542,81.6750000006512
"291",567,61.6583333338906,81.6750000006512
"292",507,64.991666667227,81.6750000006512
"296",280,78.3250000005727,81.6750000006512
"297",217,81.6583333339091,81.6750000006512
"300",322,91.6583333339184,81.6750000006512
"301",780,94.9916666672548,81.6750000006512
"302",702,98.3250000005913,81.6750000006512
"345",46,-121.674999999613,78.3416666673117
"346",190,-118.341666666276,78.3416666673117
"347",295,-115.00833333294,78.3416666673117
"348",145,-111.674999999603,78.3416666673117
"349",223,-108.341666666267,78.3416666673117
"350",309,-105.008333332931,78.3416666673117
"351",359,-101.674999999594,78.3416666673117
"352",311,-98.3416666662577,78.3416666673117
"353",1310,-95.0083333329212,78.3416666673117
"354",2170,-91.6749999995848,78.3416666673117
"355",1664,-88.3416666662484,78.3416666673117
"356",1549,-85.008333332912,78.3416666673117
"357",2026,-81.6749999995755,78.3416666673117
"358",2171,-78.3416666662391,78.3416666673117
"359",1851,-75.0083333329027,78.3416666673117
"360",1432,-71.6749999995663,78.3416666673117
"361",1566,-68.3416666662299,78.3416666673117
"362",1793,-65.0083333328934,78.3416666673117
"363",2020,-61.674999999557,78.3416666673117
"364",2181,-58.3416666662206,78.3416666673117
"365",2330,-55.0083333328842,78.3416666673117
"366",2514,-51.6749999995477,78.3416666673117
"367",2691,-48.3416666662113,78.3416666673117
"368",2744,-45.0083333328749,78.3416666673117
"369",2731,-41.6749999995385,78.3416666673117
"370",2643,-38.3416666662021,78.3416666673117
"371",2506,-35.0083333328656,78.3416666673117
"372",2315,-31.6749999995292,78.3416666673117
"373",2153,-28.3416666661928,78.3416666673117
"374",1992,-25.0083333328564,78.3416666673117
"375",1068,-21.6749999995199,78.3416666673117
"376",971,-18.3416666661835,78.3416666673117
"385",1274,11.6583333338443,78.3416666673117
"386",1293,14.9916666671807,78.3416666673117
"387",1461,18.3250000005171,78.3416666673117
"388",681,21.6583333338535,78.3416666673117
"389",725,24.99166666719,78.3416666673117
"390",270,28.3250000005264,78.3416666673117
"391",27,31.6583333338628,78.3416666673117
"396",56,48.3250000005449,78.3416666673117
"397",478,51.6583333338813,78.3416666673117
"399",278,58.3250000005542,78.3416666673117
"401",539,64.991666667227,78.3416666673117
"402",741,68.3250000005634,78.3416666673117
"404",6,74.9916666672363,78.3416666673117
"405",9,78.3250000005727,78.3416666673117
"408",51,88.325000000582,78.3416666673117
"409",371,91.6583333339184,78.3416666673117
"410",725,94.9916666672548,78.3416666673117
"411",964,98.3250000005913,78.3416666673117
"412",828,101.658333333928,78.3416666673117
"413",860,104.991666667264,78.3416666673117
"414",211,108.325000000601,78.3416666673117
"415",22,111.658333333937,78.3416666673117
"426",93,148.325000000638,78.3416666673117
"428",1,154.99166666731,78.3416666673117
"453",212,-125.008333332949,75.0083333339722
"454",355,-121.674999999613,75.0083333339722
"455",511,-118.341666666276,75.0083333339722
"456",754,-115.00833333294,75.0083333339722
"457",538,-111.674999999603,75.0083333339722
"458",327,-108.341666666267,75.0083333339722
"459",363,-105.008333332931,75.0083333339722
"460",353,-101.674999999594,75.0083333339722
"461",375,-98.3416666662577,75.0083333339722
"462",505,-95.0083333329212,75.0083333339722
"463",608,-91.6749999995848,75.0083333339722
"464",754,-88.3416666662484,75.0083333339722
"465",1599,-85.008333332912,75.0083333339722
"466",1904,-81.6749999995755,75.0083333339722
"467",1531,-78.3416666662391,75.0083333339722
"469",247,-71.6749999995663,75.0083333339722
"470",1055,-68.3416666662299,75.0083333339722
"471",1338,-65.0083333328934,75.0083333339722
"472",1466,-61.674999999557,75.0083333339722
"473",1812,-58.3416666662206,75.0083333339722
"474",2233,-55.0083333328842,75.0083333339722
"475",2511,-51.6749999995477,75.0083333339722
"476",2718,-48.3416666662113,75.0083333339722
"477",2925,-45.0083333328749,75.0083333339722
"478",3088,-41.6749999995385,75.0083333339722
"479",3125,-38.3416666662021,75.0083333339722
"480",3129,-35.0083333328656,75.0083333339722
"481",3072,-31.6749999995292,75.0083333339722
"482",2618,-28.3416666661928,75.0083333339722
"483",2206,-25.0083333328564,75.0083333339722
"484",1925,-21.6749999995199,75.0083333339722
"485",881,-18.3416666661835,75.0083333339722
"495",496,14.9916666671807,75.0083333339722
"496",494,18.3250000005171,75.0083333339722
"498",68,24.99166666719,75.0083333339722
"507",1069,54.9916666672178,75.0083333339722
"508",1252,58.3250000005542,75.0083333339722
"509",899,61.6583333338906,75.0083333339722
"510",1079,64.991666667227,75.0083333339722
"511",819,68.3250000005634,75.0083333339722
"512",14,71.6583333338999,75.0083333339722
"513",9,74.9916666672363,75.0083333339722
"514",1,78.3250000005727,75.0083333339722
"515",246,81.6583333339091,75.0083333339722
"516",286,84.9916666672456,75.0083333339722
"517",339,88.325000000582,75.0083333339722
"518",501,91.6583333339184,75.0083333339722
"519",626,94.9916666672548,75.0083333339722
"520",757,98.3250000005913,75.0083333339722
"521",627,101.658333333928,75.0083333339722
"522",780,104.991666667264,75.0083333339722
"523",1104,108.325000000601,75.0083333339722
"524",992,111.658333333937,75.0083333339722
"525",207,114.991666667273,75.0083333339722
"526",79,118.32500000061,75.0083333339722
"527",6,121.658333333946,75.0083333339722
"528",28,124.991666667283,75.0083333339722
"529",7,128.325000000619,75.0083333339722
"531",187,134.991666667292,75.0083333339722
"532",289,138.325000000628,75.0083333339722
"533",187,141.658333333965,75.0083333339722
"534",59,144.991666667301,75.0083333339722
"535",345,148.325000000638,75.0083333339722
"536",93,151.658333333974,75.0083333339722
"546",858,-178.341666666332,71.6750000006327
"547",189,-175.008333332995,71.6750000006327
"551",61,-161.67499999965,71.6750000006327
"552",63,-158.341666666313,71.6750000006327
"553",78,-155.008333332977,71.6750000006327
"554",125,-151.67499999964,71.6750000006327
"555",111,-148.341666666304,71.6750000006327
"556",56,-145.008333332968,71.6750000006327
"557",50,-141.674999999631,71.6750000006327
"560",1,-131.674999999622,71.6750000006327
"561",139,-128.341666666285,71.6750000006327
"562",477,-125.008333332949,71.6750000006327
"563",681,-121.674999999613,71.6750000006327
"564",537,-118.341666666276,71.6750000006327
"565",625,-115.00833333294,71.6750000006327
"566",628,-111.674999999603,71.6750000006327
"567",467,-108.341666666267,71.6750000006327
"568",337,-105.008333332931,71.6750000006327
"569",149,-101.674999999594,71.6750000006327
"570",344,-98.3416666662577,71.6750000006327
"571",576,-95.0083333329212,71.6750000006327
"572",507,-91.6749999995848,71.6750000006327
"573",379,-88.3416666662484,71.6750000006327
"574",838,-85.008333332912,71.6750000006327
"575",1260,-81.6749999995755,71.6750000006327
"576",2064,-78.3416666662391,71.6750000006327
"577",1688,-75.0083333329027,71.6750000006327
"578",1623,-71.6749999995663,71.6750000006327
"579",1360,-68.3416666662299,71.6750000006327
"583",1511,-55.0083333328842,71.6750000006327
"584",2205,-51.6749999995477,71.6750000006327
"585",2668,-48.3416666662113,71.6750000006327
"586",2930,-45.0083333328749,71.6750000006327
"587",3129,-41.6749999995385,71.6750000006327
"588",3231,-38.3416666662021,71.6750000006327
"589",3207,-35.0083333328656,71.6750000006327
"590",3068,-31.6749999995292,71.6750000006327
"591",2518,-28.3416666661928,71.6750000006327
"592",2400,-25.0083333328564,71.6750000006327
"593",1169,-21.6749999995199,71.6750000006327
"597",1999,-8.34166666617426,71.6750000006327
"605",774,18.3250000005171,71.6750000006327
"606",1160,21.6583333338535,71.6750000006327
"607",905,24.99166666719,71.6750000006327
"608",634,28.3250000005264,71.6750000006327
"609",447,31.6583333338628,71.6750000006327
"612",32,41.6583333338721,71.6750000006327
"615",568,51.6583333338813,71.6750000006327
"616",1152,54.9916666672178,71.6750000006327
"617",173,58.3250000005542,71.6750000006327
"618",46,61.6583333338906,71.6750000006327
"619",17,64.991666667227,71.6750000006327
"620",76,68.3250000005634,71.6750000006327
"621",75,71.6583333338999,71.6750000006327
"622",106,74.9916666672363,71.6750000006327
"623",108,78.3250000005727,71.6750000006327
"624",393,81.6583333339091,71.6750000006327
"625",332,84.9916666672456,71.6750000006327
"626",711,88.325000000582,71.6750000006327
"627",1151,91.6583333339184,71.6750000006327
"628",1014,94.9916666672548,71.6750000006327
"629",939,98.3250000005913,71.6750000006327
"630",752,101.658333333928,71.6750000006327
"631",786,104.991666667264,71.6750000006327
