"","ETOPO1_Ice_g_geotiff","X","Y"
"735",329,-40.8416666662043,84.1750000006559
"736",577,-39.1749999995361,84.1750000006559
"737",1158,-37.5083333328679,84.1750000006559
"738",1331,-35.8416666661997,84.1750000006559
"739",1465,-34.1749999995315,84.1750000006559
"740",1464,-32.5083333328632,84.1750000006559
"741",993,-30.841666666195,84.1750000006559
"742",970,-29.1749999995268,84.1750000006559
"743",1012,-27.5083333328586,84.1750000006559
"744",307,-25.8416666661904,84.1750000006559
"921",130,-92.5083333329189,82.5083333339861
"922",449,-90.8416666662507,82.5083333339861
"923",913,-89.1749999995824,82.5083333339861
"924",1075,-87.5083333329142,82.5083333339861
"925",1158,-85.841666666246,82.5083333339861
"926",1576,-84.1749999995778,82.5083333339861
"927",1655,-82.5083333329096,82.5083333339861
"928",1697,-80.8416666662414,82.5083333339861
"929",1812,-79.1749999995732,82.5083333339861
"930",2115,-77.508333332905,82.5083333339861
"931",2364,-75.8416666662367,82.5083333339861
"932",2305,-74.1749999995685,82.5083333339861
"933",2148,-72.5083333329003,82.5083333339861
"934",1950,-70.8416666662321,82.5083333339861
"935",1677,-69.1749999995639,82.5083333339861
"936",1774,-67.5083333328957,82.5083333339861
"937",1530,-65.8416666662275,82.5083333339861
"938",926,-64.1749999995593,82.5083333339861
"939",706,-62.5083333328911,82.5083333339861
"940",471,-60.8416666662228,82.5083333339861
"941",522,-59.1749999995546,82.5083333339861
"942",756,-57.5083333328864,82.5083333339861
"943",785,-55.8416666662182,82.5083333339861
"944",913,-54.17499999955,82.5083333339861
"945",951,-52.5083333328818,82.5083333339861
"946",994,-50.8416666662136,82.5083333339861
"947",942,-49.1749999995453,82.5083333339861
"948",922,-47.5083333328772,82.5083333339861
"949",1000,-45.8416666662089,82.5083333339861
"950",1042,-44.1749999995407,82.5083333339861
"951",1582,-42.5083333328725,82.5083333339861
"952",1592,-40.8416666662043,82.5083333339861
"953",1549,-39.1749999995361,82.5083333339861
"954",1474,-37.5083333328679,82.5083333339861
"955",1349,-35.8416666661997,82.5083333339861
"956",1531,-34.1749999995315,82.5083333339861
"957",1534,-32.5083333328632,82.5083333339861
"958",1459,-30.841666666195,82.5083333339861
"959",1245,-29.1749999995268,82.5083333339861
"960",1179,-27.5083333328586,82.5083333339861
"961",812,-25.8416666661904,82.5083333339861
"962",633,-24.1749999995222,82.5083333339861
"963",517,-22.508333332854,82.5083333339861
"964",497,-20.8416666661857,82.5083333339861
"965",88,-19.1749999995176,82.5083333339861
"966",93,-17.5083333328493,82.5083333339861
"967",19,-15.8416666661811,82.5083333339861
"968",539,-14.1749999995129,82.5083333339861
"969",257,-12.5083333328447,82.5083333339861
"1011",422,57.4916666672202,82.5083333339861
"1012",445,59.1583333338884,82.5083333339861
"1014",197,62.4916666672248,82.5083333339861
"1015",179,64.1583333338931,82.5083333339861
"1133",1,-100.84166666626,80.8416666673164
"1134",141,-99.1749999995917,80.8416666673164
"1135",4,-97.5083333329235,80.8416666673164
"1136",813,-95.8416666662553,80.8416666673164
"1137",1421,-94.1749999995871,80.8416666673164
"1138",1698,-92.5083333329189,80.8416666673164
"1139",1465,-90.8416666662507,80.8416666673164
"1140",774,-89.1749999995824,80.8416666673164
"1141",973,-87.5083333329142,80.8416666673164
