Commune,Département,Région,Statut
Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Préfecture
Lyon,Métropole de LyonNote 1,Auvergne-Rhône-Alpes,Préfecture
Toulouse,Haute-Garonne,Occitanie,Préfecture
Nice,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,Préfecture
Nantes,Loire-Atlantique,Pays de la Loire,Préfecture
Montpellier,Hérault,Occitanie,Préfecture
Strasbourg,Bas-Rhin,Grand Est,Préfecture
Bordeaux,Gironde,Nouvelle-Aquitaine,Préfecture
Lille,Nord,Hauts-de-France,Préfecture
Rennes,Ille-et-Vilaine,Bretagne,Préfecture
Reims,Marne,Grand Est,Sous-préfecture
Toulon,Var,Provence-Alpes-Côte d'Azur,Préfecture
Saint-Étienne,Loire,Auvergne-Rhône-Alpes,Préfecture
Le Havre,Seine-Maritime,Normandie,Sous-préfecture
Grenoble,Isère,Auvergne-Rhône-Alpes,Préfecture
Dijon,Côte-d'Or,Bourgogne-Franche-Comté,Préfecture
Angers,Maine-et-Loire,Pays de la Loire,Préfecture
Villeurbanne,Métropole de LyonNote 1,Auvergne-Rhône-Alpes,--
Saint-Denis,La Réunion,La Réunion,Préfecture
Nîmes,Gard,Occitanie,Préfecture
Clermont-Ferrand,Puy-de-Dôme,Auvergne-Rhône-Alpes,Préfecture
Le Mans,Sarthe,Pays de la Loire,Préfecture
Aix-en-Provence,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Sous-préfecture
Brest,Finistère,Bretagne,Sous-préfecture
Tours,Indre-et-Loire,Centre-Val de Loire,Préfecture
Amiens,Somme,Hauts-de-France,Préfecture
Limoges,Haute-Vienne,Nouvelle-Aquitaine,Préfecture
Annecy,Haute-Savoie,Auvergne-Rhône-Alpes,Préfecture
Boulogne-Billancourt,Hauts-de-Seine,Île-de-France,Sous-préfecture
Perpignan,Pyrénées-Orientales,Occitanie,Préfecture
Besançon,Doubs,Bourgogne-Franche-Comté,Préfecture
Metz,Moselle,Grand Est,Préfecture
Orléans,Loiret,Centre-Val de Loire,Préfecture
Saint-Denis,Seine-Saint-Denis,Île-de-France,Sous-préfecture
Rouen,Seine-Maritime,Normandie,Préfecture
Argenteuil,Val-d'Oise,Île-de-France,Sous-préfecture
Montreuil,Seine-Saint-Denis,Île-de-France,--
Mulhouse,Haut-Rhin,Grand Est,Sous-préfecture
Caen,Calvados,Normandie,Préfecture
Nancy,Meurthe-et-Moselle,Grand Est,Préfecture
Saint-Paul,La Réunion,La Réunion,Sous-préfecture
Roubaix,Nord,Hauts-de-France,--
Tourcoing,Nord,Hauts-de-France,--
Nanterre,Hauts-de-Seine,Île-de-France,Préfecture
Vitry-sur-Seine,Val-de-Marne,Île-de-France,--
Créteil,Val-de-Marne,Île-de-France,Préfecture
Avignon,Vaucluse,Provence-Alpes-Côte d'Azur,Préfecture
Poitiers,Vienne,Nouvelle-Aquitaine,Préfecture
Aubervilliers,Seine-Saint-Denis,Île-de-France,--
DunkerqueNote 2,Nord,Hauts-de-France,Sous-préfecture
Aulnay-sous-Bois,Seine-Saint-Denis,Île-de-France,--
Colombes,Hauts-de-Seine,Île-de-France,--
Asnières-sur-Seine,Hauts-de-Seine,Île-de-France,--
Versailles,Yvelines,Île-de-France,Préfecture
Saint-Pierre,La Réunion,La Réunion,Sous-préfecture
Courbevoie,Hauts-de-Seine,Île-de-France,--
Le Tampon,La Réunion,La Réunion,--
Cherbourg-en-CotentinNote 3,Manche,Normandie,Sous-préfecture
Fort-de-France,Martinique,Martinique,Préfecture
Rueil-Malmaison,Hauts-de-Seine,Île-de-France,--
Béziers,Hérault,Occitanie,Sous-préfecture
Champigny-sur-Marne,Val-de-Marne,Île-de-France,--
Pau,Pyrénées-Atlantiques,Nouvelle-Aquitaine,Préfecture
La Rochelle,Charente-Maritime,Nouvelle-Aquitaine,Préfecture
Saint-Maur-des-Fossés,Val-de-Marne,Île-de-France,--
Cannes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,--
Calais,Pas-de-Calais,Hauts-de-France,Sous-préfecture
Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,--
Drancy,Seine-Saint-Denis,Île-de-France,--
Mamoudzou,Mayotte,Mayotte,Préfecture
Ajaccio,Corse-du-Sud,Corse,Préfecture
Mérignac,Gironde,Nouvelle-Aquitaine,--
Saint-Nazaire,Loire-Atlantique,Pays de la Loire,Sous-préfecture
Colmar,Haut-Rhin,Grand Est,Préfecture
Issy-les-Moulineaux,Hauts-de-Seine,Île-de-France,--
Noisy-le-Grand,Seine-Saint-Denis,Île-de-France,--
Évry-CourcouronnesNote 4,Essonne,Île-de-France,Préfecture
Vénissieux,Métropole de LyonNote 1,Auvergne-Rhône-Alpes,--
Cergy,Val-d'Oise,Île-de-France,Préfecture
Levallois-Perret,Hauts-de-Seine,Île-de-France,--
Valence,Drôme,Auvergne-Rhône-Alpes,Préfecture
Bourges,Cher,Centre-Val de Loire,Préfecture
Pessac,Gironde,Nouvelle-Aquitaine,--
Cayenne,Guyane,Guyane,Préfecture
Ivry-sur-Seine,Val-de-Marne,Île-de-France,--
Quimper,Finistère,Bretagne,Préfecture
La Seyne-sur-Mer,Var,Provence-Alpes-Côte d'Azur,--
Antony,Hauts-de-Seine,Île-de-France,Sous-préfecture
