"","ISO3","NAMEfr","NAMEen","GDP2019"
"151","TLS","Timor oriental","East Timor",2025637051
"152","PRI","Porto Rico","Puerto Rico",104372176524
"153","QAT","Qatar","Qatar",191416758241.758
"154","ROU","Roumanie","Romania",226142982709.699
"155","RUS","Russie","Russia",1520237988119.51
"156","RWA","Rwanda","Rwanda",9479062851.12249
"157","KNA","Saint-Christophe-et-Niévès","Saint Kitts and Nevis",1000974074.07407
"158","LCA","Sainte-Lucie","Saint Lucia",1849910370.37037
"159","VCT","Saint-Vincent-et-les Grenadines","Saint Vincent and the Grenadines",687633333.333333
"160","SMR","Saint-Marin","San Marino",1484654987.19725
"161","STP","Sao Tomé-et-Principe","Sao Tome and Principe",414478288.07256
"162","SAU","Arabie saoudite","Saudi Arabia",793804808704.8
"163","SEN","Sénégal","Senegal",21454964520.5768
"164","SRB","Serbie","Serbia",42574050389.9186
"165","SYC","Seychelles","Seychelles",1452870860.27827
"166","SLE","Sierra Leone","Sierra Leone",3738402694.18872
"167","SGP","Singapour","Singapore",353086359721.196
"168","SVK","Slovaquie","Slovakia",94019674580.541
"169","VNM","Viet Nam","Vietnam",235950710279.717
"170","SVN","Slovénie","Slovenia",47402109554.5646
"171","SOM","Somalie","Somalia",1428992870.26638
"172","ZAF","Afrique du Sud","South Africa",313084592173.081
"173","ZWE","Zimbabwe","Zimbabwe",19365545424
"174","ESP","Espagne","Spain",1263897916313.72
"175","SSD","Soudan du Sud","South Sudan",4891088040.96012
"176","SDN","Soudan","Sudan",34895362319.7286
"177","SAH","Sahara occidental","Western Sahara",NA
"178","SUR","Suriname","Suriname",3405921962.99276
"179","SWZ","Swaziland","Swaziland",4296860837.68066
"180","SWE","Suède","Sweden",471560514568.302
"181","CHE","Suisse","Switzerland",711123001822.027
"182","SYR","Syrie","Syria",20379229882.4338
"183","TJK","Tadjikistan","Tajikistan",7576308711.45216
"184","THA","Thaïlande","Thailand",538775589403.104
"185","TGO","Togo","Togo",6560998077.25
"186","TON","Tonga","Tonga",426923663.137683
"187","TTO","Trinité-et-Tobago","Trinidad and Tobago",22892152953.4255
"188","ARE","Émirats arabes unis","United Arab Emirates",421142267937.645
"189","TUN","Tunisie","Tunisia",36789201776.6065
"190","TUR","Turquie","Turkey",685947735070.189
"191","TKM","Turkménistan","Turkmenistan",47567089228.5714
"192","TUV","Tuvalu","Tuvalu",44934222.4128194
"193","UGA","Ouganda","Uganda",29778795447.0447
"194","UKR","Ukraine","Ukraine",132252391536.361
"195","MKD","Macédoine","Macedonia",11081700615.7366
"196","EGY","Égypte","Egypt",308284297971.219
"197","GBR","Grande-Bretagne","United Kingdom",2523592239882.51
"198","GGY","Guernesey","Guernsey",NA
"199","JEY","Jersey","Jersey",NA
"200","IMN","Île de Man","Isle of Man",NA
"201","TZA","Tanzanie","Tanzania",56204797025.0967
"202","USA","États-Unis d'Amérique","United States of America",2.14336e+13
"203","BFA","Burkina Faso","Burkina Faso",14436782616.7249
"204","URY","Uruguay","Uruguay",50992894006.7153
"205","UZB","Ouzbékistan","Uzbekistan",54112112993.5511
"206","VEN","Venezuela","Venezuela",125582787893.636
"207","WSM","Samoa","Samoa",844656299.482795
"208","YEM","Yémen","Yemen",24551412118.3696
"209","ZMB","Zambie","Zambia",21621302251.3955
