"","NUTS_ID","n","TOT_P_2021","urban_pop","n_0","TIME_TOWN_5K_1_MED","TIME_TOWN_10K_1_MED","TIME_TOWN_50K_1_MED","TIME_TOWN_5K_2_MED","TIME_TOWN_10K_2_MED","TIME_TOWN_50K_2_MED","TIME_TOWN_5K_3_MED","TIME_TOWN_10K_3_MED","TIME_TOWN_50K_3_MED","N_TOWN_5K_15MN_MED","N_TOWN_5K_30MN_MED","N_TOWN_5K_60MN_MED","N_TOWN_5K_120MN_MED","N_TOWN_10K_15MN_MED","N_TOWN_10K_30MN_MED","N_TOWN_10K_60MN_MED","N_TOWN_10K_120MN_MED","N_TOWN_50K_15MN_MED","N_TOWN_50K_30MN_MED","N_TOWN_50K_60MN_MED","N_TOWN_50K_120MN_MED","POP_TOWN_5K_15MN_MED","POP_TOWN_5K_30MN_MED","POP_TOWN_5K_60MN_MED","POP_TOWN_5K_120MN_MED","POP_TOWN_10K_15MN_MED","POP_TOWN_10K_30MN_MED","POP_TOWN_10K_60MN_MED","POP_TOWN_10K_120MN_MED","POP_TOWN_50K_15MN_MED","POP_TOWN_50K_30MN_MED","POP_TOWN_50K_60MN_MED","POP_TOWN_50K_120MN_MED","TIME_TOWN_5K_1_wmean","TIME_TOWN_10K_1_wmean","TIME_TOWN_50K_1_wmean","TIME_TOWN_5K_2_wmean","TIME_TOWN_10K_2_wmean","TIME_TOWN_50K_2_wmean","TIME_TOWN_5K_3_wmean","TIME_TOWN_10K_3_wmean","TIME_TOWN_50K_3_wmean","N_TOWN_5K_15MN_wmean","N_TOWN_5K_30MN_wmean","N_TOWN_5K_60MN_wmean","N_TOWN_5K_120MN_wmean","N_TOWN_10K_15MN_wmean","N_TOWN_10K_30MN_wmean","N_TOWN_10K_60MN_wmean","N_TOWN_10K_120MN_wmean","N_TOWN_50K_15MN_wmean","N_TOWN_50K_30MN_wmean","N_TOWN_50K_60MN_wmean","N_TOWN_50K_120MN_wmean","POP_TOWN_5K_15MN_wmean","POP_TOWN_5K_30MN_wmean","POP_TOWN_5K_60MN_wmean","POP_TOWN_5K_120MN_wmean","POP_TOWN_10K_15MN_wmean","POP_TOWN_10K_30MN_wmean","POP_TOWN_10K_60MN_wmean","POP_TOWN_10K_120MN_wmean","POP_TOWN_50K_15MN_wmean","POP_TOWN_50K_30MN_wmean","POP_TOWN_50K_60MN_wmean","POP_TOWN_50K_120MN_wmean","TIME_TOWN_5K_1_Q1","TIME_TOWN_10K_1_Q1","TIME_TOWN_50K_1_Q1","TIME_TOWN_5K_2_Q1","TIME_TOWN_10K_2_Q1","TIME_TOWN_50K_2_Q1","TIME_TOWN_5K_3_Q1","TIME_TOWN_10K_3_Q1","TIME_TOWN_50K_3_Q1","N_TOWN_5K_15MN_Q1","N_TOWN_5K_30MN_Q1","N_TOWN_5K_60MN_Q1","N_TOWN_5K_120MN_Q1","N_TOWN_10K_15MN_Q1","N_TOWN_10K_30MN_Q1","N_TOWN_10K_60MN_Q1","N_TOWN_10K_120MN_Q1","N_TOWN_50K_15MN_Q1","N_TOWN_50K_30MN_Q1","N_TOWN_50K_60MN_Q1","N_TOWN_50K_120MN_Q1","POP_TOWN_5K_15MN_Q1","POP_TOWN_5K_30MN_Q1","POP_TOWN_5K_60MN_Q1","POP_TOWN_5K_120MN_Q1","POP_TOWN_10K_15MN_Q1","POP_TOWN_10K_30MN_Q1","POP_TOWN_10K_60MN_Q1","POP_TOWN_10K_120MN_Q1","POP_TOWN_50K_15MN_Q1","POP_TOWN_50K_30MN_Q1","POP_TOWN_50K_60MN_Q1","POP_TOWN_50K_120MN_Q1","TIME_TOWN_5K_1_Q3","TIME_TOWN_10K_1_Q3","TIME_TOWN_50K_1_Q3","TIME_TOWN_5K_2_Q3","TIME_TOWN_10K_2_Q3","TIME_TOWN_50K_2_Q3","TIME_TOWN_5K_3_Q3","TIME_TOWN_10K_3_Q3","TIME_TOWN_50K_3_Q3","N_TOWN_5K_15MN_Q3","N_TOWN_5K_30MN_Q3","N_TOWN_5K_60MN_Q3","N_TOWN_5K_120MN_Q3","N_TOWN_10K_15MN_Q3","N_TOWN_10K_30MN_Q3","N_TOWN_10K_60MN_Q3","N_TOWN_10K_120MN_Q3","N_TOWN_50K_15MN_Q3","N_TOWN_50K_30MN_Q3","N_TOWN_50K_60MN_Q3","N_TOWN_50K_120MN_Q3","POP_TOWN_5K_15MN_Q3","POP_TOWN_5K_30MN_Q3","POP_TOWN_5K_60MN_Q3","POP_TOWN_5K_120MN_Q3","POP_TOWN_10K_15MN_Q3","POP_TOWN_10K_30MN_Q3","POP_TOWN_10K_60MN_Q3","POP_TOWN_10K_120MN_Q3","POP_TOWN_50K_15MN_Q3","POP_TOWN_50K_30MN_Q3","POP_TOWN_50K_60MN_Q3","POP_TOWN_50K_120MN_Q3"
"1","AT111",260,37652,NA,NA,22.65,28.1,42.9,30.15,36.1,61.25,34.6,42.35,84.65,0,1,15,76,0,1,6,30,NA,NA,1,5,0,20378,247650,3145379,0,12964,183868,2848691,NA,NA,60831,2320499,21.5205858918517,27.1381440560926,41.9230293211516,30.1845267183682,35.3768724104961,60.6062493360247,34.809731222777,41.7414373738447,84.2967730797833,0.0703017104005099,1.52626686497397,16.5904600021247,74.7929724848614,0.00111547859343461,0.860060554552215,7.31626474025284,30.1702432805694,NA,NA,1.59165515776054,4.85676723680017,600.191702963986,28632.8243386805,1260571.86608945,3128041.0382981,14.4610644852863,23130.9392860937,1197557.27706364,2833624.6670562,NA,NA,1062012.17945926,2291403.29382237,18.475,23.675,36.7,27.8,31.8,57.075,32.175,38.575,81.175,0,1,13,70,0,0,6,29,NA,NA,1,5,0,8466,223644,3089450,0,0,179273,2833736,NA,NA,60831,2320499,26.3,34.6,47.3,33.3,41.3,68.825,37.825,47.9,89.6,0,2,19.25,77,0,1,8,31,NA,NA,2,5,0,48603,1973733.25,3173642.5,0,48603,1897291,2864702,NA,NA,1747091,2320499
"2","AT112",521,163501,10357,4,12.6,16.6,34.9,19.6,24.8,56.5,23,27.2,66.8,1,6,27,81,0,3,12,34,NA,NA,2,5,8824,92756,2265742,3100900,0,76941,2160158,2769187,NA,NA,1947076,2162391,11.1993596369441,17.4895364554345,33.8566724362543,19.0180090641647,25.468817316102,54.1304420156451,22.6710986477147,28.476122470199,64.1801108250103,1.08631751487758,6.60722564387985,29.6018739946545,85.0499446486566,0.595023883645972,3.37698851994789,14.2136194885658,35.1089779267405,NA,NA,NA,5.00034862172097,19440.7078121846,427093.484431288,2153791.20821279,3114867.92115033,15780.8452058397,404084.574712081,2048072.07252555,2778825.94011657,NA,NA,NA,2174790.20051865,8.8,11,29.5,15.5,18.4,44.8,19,21.9,54.9,0,3,24,80,0,1,11,31,NA,NA,1,5,0,37775,1996717,3020815,0,24332,1899342,2707252,NA,NA,1686260,2162391,16.9,27.5,40.5,24.2,33.9,62.3,28.4,36.6,71.3,1,8,34,90,1,4,17,39,NA,NA,3,6,15374,303914,2426532,3242157,15374,285148,2319885,2899095,NA,NA,2040799,2225355
"3","AT113",935,96988,3599,2,18.5,45,45.3,24.9,57.3,63.7,30.9,65.9,88.1,0,2,10,52,0,0,2,18,NA,NA,1,3,0,16929,141485,912458,0,0,91764,705256,NA,NA,60831,362261,14.7967377407514,40.8737163360416,41.0201354806781,21.6098909143399,55.5229018022849,62.4522683218542,27.4902441539159,62.7990998886461,85.1067420711841,0.671732585474492,2.65299830906916,12.6384501175403,53.9173196684126,0.00452633315461707,0.170340660700293,2.44843692003134,18.796686187982,NA,NA,NA,3.5449437043758,4209.24361776715,25238.8516208191,249965.181032705,1896726.3635192,275.341372128511,10361.9927310595,184923.549129789,1662328.10175486,NA,NA,NA,1347276.28871613,13.3,35.8,35.8,20.5,52.75,58.4,26.35,60.25,77.8,0,2,9,49,0,0,1,17,NA,NA,1,3,0,11004,115618,859636,0,0,60831,643219,NA,NA,60831,362261,22.9,51,51.35,28.9,62.1,70.85,34.4,70.65,98.3,1,3,13,56,0,0,2,20,NA,NA,2,4,5925,18102,342363,2619526.5,0,0,279700,2372950,NA,NA,279700,2048521
"4","AT121",2599,248628,11989,6,17.6,24.5,55.5,23.6,38,66.9,27.4,46.7,87.2,0,3,16,52,0,1,5,15,NA,NA,1,3,0,33765,362905,2384775,0,14888,294479,2130170,NA,NA,245385,1931645,12.972029698988,20.7643105362228,47.873463970269,20.0227182779091,34.100683350226,60.4371277571311,25.0008132631883,41.7172482584423,NA,0.972464887301511,4.39180623260453,19.1272785044323,53.3402714094953,0.295015042553534,1.4005944624097,6.3190509516225,15.0557861544154,NA,NA,NA,NA,9416.90677236675,66357.1149066075,584451.757851087,1630591.65158791,4877.92442122368,45942.9535651656,498032.801406117,1368032.51475699,NA,NA,NA,NA,12.2,17.7,44.5,18.4,31.4,57.55,23.2,39,76.125,0,1,9,47,0,0,3,12,NA,NA,1,2,0,12762,94094,706330,0,0,54788,460348,NA,NA,194405,324844,24.15,34.2,68,31.7,45,78.75,35.85,55.15,106.3,1,5,21,60,0,1,7,19,NA,NA,2,3,6467,46660,460004,2498014,0,27138,356904,2213635,NA,NA,245385,1931645
"5","AT122",1978,263283,15672,6,21.4,30.6,50.1,28,39.2,81.35,31.5,42.15,88,0,2,20,71,0,0,8,26,NA,NA,1,4,0,16051,1897629,2893841.5,0,0,1836880,2606812,NA,NA,1686260,2226776,11.2860120098905,17.9582023905835,37.7406866375725,18.4615356859349,27.2225362062876,NA,21.7972208612026,30.7153443253077,NA,1.35288263959314,7.78220773844115,24.0552979113729,74.9043386773928,0.574795942009169,3.3556477250715,9.78006555683428,27.0892917507017,NA,NA,NA,3.48181614460486,18645.0452326964,666672.123380545,1877739.65852334,2904131.75061816,14002.4928157154,637984.441498312,1782643.54383306,2581224.47164078,NA,NA,NA,2117031.73482906,12.8,21.5,39.1,18.9,29.3,71.6,22.2,32,80.6,0,1,14,63,0,0,6,22,NA,NA,1,3,0,5028,1795028,2607798.75,0,0,1747330,2307032,NA,NA,1686260,1965960,28.8,38.5,58,35.2,47.6,95.075,39.075,51.9,99.2,1,5,23,75,0,2,10,28,NA,NA,1,4,5860,60592,1969756,3007880.5,0,41313,1886683,2700891,NA,NA,1686260,2226776
"6","AT123",1000,158379,11188,5,13.65,20.3,43.75,20.1,33,86.7,24.3,40.9,NA,1,5,21,64,0,1,7,22,NA,NA,1,2,5860,51253,1890930.5,2553337,0,27138,1789656,2268890,NA,NA,1686260,1880665,9.35185662240576,14.4525176948964,40.7395930015975,16.3073412510497,29.7849165609077,NA,20.8188718201276,38.5119308746741,NA,1.43692661274538,5.70111567821492,23.3691966738015,64.6510206529906,0.529906111290007,1.73413141893812,7.88461222763119,22.2877717374147,NA,NA,NA,1.83958731902588,19400.9595148347,283407.384198663,1849433.68012805,2558197.44801394,14286.1232739189,259831.326059642,1741021.43085258,2265938.96533631,NA,NA,NA,1863798.03157616,9,15.2,36.3,15.375,26.3,79.7,19.3,34.4,NA,0,2,15,62,0,1,5,21,NA,NA,1,2,0,33059,1817914,2503322,0,27138,1751838,2220287,NA,NA,1686260,1880665,21.3,26.7,52.425,26.025,42.6,93.55,30.6,49.2,NA,1,6,26,66,0,2,9,24,NA,NA,1,2,10947,67558,1941116.5,2661004.5,0,40306,1829499,2370906,NA,NA,1686260,1947076
"7","AT124",2590,215665,8557,4,25.4,46.1,68.3,38.4,61.5,91.2,44.4,67.4,102.5,0,1,7,57,0,0,1,17,NA,NA,NA,3,0,8574,64705,2497146,0,0,28814,2220287,NA,NA,NA,1960124,18.2441119328588,35.5873966568521,62.1148684302042,30.7064989683073,50.8185496023926,NA,36.2576259476503,56.1691132079847,NA,0.724851042125519,2.10018315442932,11.2799063362159,60.8837502608212,0.247652609371015,0.576681427213502,2.46218904319199,18.7713861776366,NA,NA,NA,2.65168664363712,6945.82854427005,20628.8223958454,771705.835643243,2158320.0630654,3261.08956019753,9743.74676929497,710017.74692231,1873506.51715392,NA,NA,NA,1569185.7838685,17.025,32.225,60.1,29.9,50.225,83.625,35.9,55.1,96.7,0,0,6,53,0,0,1,15,NA,NA,NA,2,0,0,47596.5,847498.75,0,0,13168,584627,NA,NA,NA,324844,32.8,56.1,76.3,44.4,67.2,99.7,50,73.3,111.1,0,2,11,64,0,0,3,21,NA,NA,NA,3,0,13226,122683.25,2590629.75,0,0,65578,2289443,NA,NA,NA,2011104
"8","AT125",849,125380,3859,2,18.3,33.1,44.3,27.8,40.8,70.9,33,45.5,91.7,0,2,18,88,0,0,6,35,NA,NA,1,3,0,15487,1855867,3218632,0,0,1771186,2868070,NA,NA,1686260,2245378,17.0387159036529,32.3787023448716,42.9522651140533,27.024002233211,40.6576686871909,71.1712809060456,32.2281121390972,45.5120832668687,NA,0.352448556388579,2.35997766788962,18.2974557345669,91.4507417450949,0.00333386505024725,0.422379964906684,6.92808262880842,37.2134869995215,NA,NA,NA,3.43091402137502,2557.90248843516,146798.317442973,1894155.70091721,3268343.3807226,35.9457329717658,132605.677875259,1811166.45673951,2906545.17738874,NA,NA,NA,2246467.37363216,13.4,28.5,37.2,24.2,36.1,62,28.8,41.7,77.1,0,1,14,79,0,0,4,30,NA,NA,1,3,0,7493,1813096,3110519,0,0,1737114,2782879,NA,NA,1686260,2245378,23.5,38.6,51.5,31.9,48.5,82.4,37.3,51.8,99.9,1,3,22,101,0,1,9,42,NA,NA,1,4,7001,30732,1930197,3435750,0,10782,1829524,3050833,NA,NA,1686260,2306139
"9","AT126",1291,340908,31048,12,11.4,16.6,24.1,16.7,26.6,78.2,20.9,33.6,87.3,1,6,28,88,0,2,10,35,NA,1,1,4,8892,1720240,1982721,3221866,0,1696644,1842158,2875266,NA,1686260,1686260,2245378,8.73591995494385,13.5584896805003,20.2990478369531,14.7253197343565,24.6984623417462,NA,18.9351631525221,32.1687059265256,NA,1.61565290342262,6.34870404918629,29.6941315545543,85.9854095533106,0.66118131578021,2.33847254977883,10.6704184120056,34.7996878923346,NA,NA,1.25868562779401,3.47420125077734,585211.289473993,1433721.00836883,2054728.00865336,3153366.77613902,577915.763508043,1403652.8855527,1918066.56855222,2808908.64982928,NA,NA,1752116.37221479,2184485.58743415,7.8,12,16.8,13.3,22.6,60.425,17.5,29.4,79.2,0,4,25,75,0,1,8,28,NA,1,1,2,0,67558,1937708,2797049,0,37522,1803869,2482729.5,NA,1686260,1686260,1947076,15.7,21.2,31.4,20.4,30,87.1,24.3,38.4,98.6,2,7,32,94,1,3,12,40,NA,1,1,4,18875,1732883,2067680,3323625,11258,1697518,1899723,2962403,NA,1686260,1686260,2306139
"10","AT127",754,356855,88192,30,8.7,14.2,17.9,14.7,18.4,60.35,17.8,21.5,80.5,2,9,37,79,1,5,15,30.5,NA,1,1,4,25543,1794274.5,2136373,2926290,15163,1768429,1961290,2610465,NA,1686260,1686260,2068668,5.46999873898362,8.78720768939765,12.3903027840439,12.1639733224979,15.8059576018271,57.7698432136302,14.9453366213168,18.7971736419554,NA,2.78140421179471,10.210875565706,38.4767846884589,80.6636841294083,1.49954463297418,5.41367221980917,15.8301298846871,32.1720726905886,NA,NA,1.60063611270684,3.92224853231705,1016144.3189839,1713896.03160387,2273936.80158608,2964136.31525129,1006441.5281697,1679000.03983971,2118018.69612308,2638041.43619958,NA,NA,1823236.51702792,2075862.02910706,5.9,8.125,11.9,11,13.4,45.2,13.4,16.8,69.3,1,7,34,76,0,3,13,28,NA,1,1,3,5323,1749634,2085832.5,2844955,0,1726103,1937738,2518872.25,NA,1686260,1686260,2007907,13.175,20.275,22.2,18.1,24,70,21.6,27,87.35,3,11,41,85,2,6,19,37,NA,1,2,5,1693532,1819380,2471618,3106769.5,1686260,1782645,2321541,2783268,NA,1686260,1947076,2162391
