"","NUTS_ID","n","TOT_P_2021","urban_pop","n_0","TIME_TOWN_5K_1_MED","TIME_TOWN_10K_1_MED","TIME_TOWN_50K_1_MED","TIME_TOWN_5K_2_MED","TIME_TOWN_10K_2_MED","TIME_TOWN_50K_2_MED","TIME_TOWN_5K_3_MED","TIME_TOWN_10K_3_MED","TIME_TOWN_50K_3_MED","N_TOWN_5K_15MN_MED","N_TOWN_5K_30MN_MED","N_TOWN_5K_60MN_MED","N_TOWN_5K_120MN_MED","N_TOWN_10K_15MN_MED","N_TOWN_10K_30MN_MED","N_TOWN_10K_60MN_MED","N_TOWN_10K_120MN_MED","N_TOWN_50K_15MN_MED","N_TOWN_50K_30MN_MED","N_TOWN_50K_60MN_MED","N_TOWN_50K_120MN_MED","POP_TOWN_5K_15MN_MED","POP_TOWN_5K_30MN_MED","POP_TOWN_5K_60MN_MED","POP_TOWN_5K_120MN_MED","POP_TOWN_10K_15MN_MED","POP_TOWN_10K_30MN_MED","POP_TOWN_10K_60MN_MED","POP_TOWN_10K_120MN_MED","POP_TOWN_50K_15MN_MED","POP_TOWN_50K_30MN_MED","POP_TOWN_50K_60MN_MED","POP_TOWN_50K_120MN_MED","TIME_TOWN_5K_1_wmean","TIME_TOWN_10K_1_wmean","TIME_TOWN_50K_1_wmean","TIME_TOWN_5K_2_wmean","TIME_TOWN_10K_2_wmean","TIME_TOWN_50K_2_wmean","TIME_TOWN_5K_3_wmean","TIME_TOWN_10K_3_wmean","TIME_TOWN_50K_3_wmean","N_TOWN_5K_15MN_wmean","N_TOWN_5K_30MN_wmean","N_TOWN_5K_60MN_wmean","N_TOWN_5K_120MN_wmean","N_TOWN_10K_15MN_wmean","N_TOWN_10K_30MN_wmean","N_TOWN_10K_60MN_wmean","N_TOWN_10K_120MN_wmean","N_TOWN_50K_15MN_wmean","N_TOWN_50K_30MN_wmean","N_TOWN_50K_60MN_wmean","N_TOWN_50K_120MN_wmean","POP_TOWN_5K_15MN_wmean","POP_TOWN_5K_30MN_wmean","POP_TOWN_5K_60MN_wmean","POP_TOWN_5K_120MN_wmean","POP_TOWN_10K_15MN_wmean","POP_TOWN_10K_30MN_wmean","POP_TOWN_10K_60MN_wmean","POP_TOWN_10K_120MN_wmean","POP_TOWN_50K_15MN_wmean","POP_TOWN_50K_30MN_wmean","POP_TOWN_50K_60MN_wmean","POP_TOWN_50K_120MN_wmean","TIME_TOWN_5K_1_Q1","TIME_TOWN_10K_1_Q1","TIME_TOWN_50K_1_Q1","TIME_TOWN_5K_2_Q1","TIME_TOWN_10K_2_Q1","TIME_TOWN_50K_2_Q1","TIME_TOWN_5K_3_Q1","TIME_TOWN_10K_3_Q1","TIME_TOWN_50K_3_Q1","N_TOWN_5K_15MN_Q1","N_TOWN_5K_30MN_Q1","N_TOWN_5K_60MN_Q1","N_TOWN_5K_120MN_Q1","N_TOWN_10K_15MN_Q1","N_TOWN_10K_30MN_Q1","N_TOWN_10K_60MN_Q1","N_TOWN_10K_120MN_Q1","N_TOWN_50K_15MN_Q1","N_TOWN_50K_30MN_Q1","N_TOWN_50K_60MN_Q1","N_TOWN_50K_120MN_Q1","POP_TOWN_5K_15MN_Q1","POP_TOWN_5K_30MN_Q1","POP_TOWN_5K_60MN_Q1","POP_TOWN_5K_120MN_Q1","POP_TOWN_10K_15MN_Q1","POP_TOWN_10K_30MN_Q1","POP_TOWN_10K_60MN_Q1","POP_TOWN_10K_120MN_Q1","POP_TOWN_50K_15MN_Q1","POP_TOWN_50K_30MN_Q1","POP_TOWN_50K_60MN_Q1","POP_TOWN_50K_120MN_Q1","TIME_TOWN_5K_1_Q3","TIME_TOWN_10K_1_Q3","TIME_TOWN_50K_1_Q3","TIME_TOWN_5K_2_Q3","TIME_TOWN_10K_2_Q3","TIME_TOWN_50K_2_Q3","TIME_TOWN_5K_3_Q3","TIME_TOWN_10K_3_Q3","TIME_TOWN_50K_3_Q3","N_TOWN_5K_15MN_Q3","N_TOWN_5K_30MN_Q3","N_TOWN_5K_60MN_Q3","N_TOWN_5K_120MN_Q3","N_TOWN_10K_15MN_Q3","N_TOWN_10K_30MN_Q3","N_TOWN_10K_60MN_Q3","N_TOWN_10K_120MN_Q3","N_TOWN_50K_15MN_Q3","N_TOWN_50K_30MN_Q3","N_TOWN_50K_60MN_Q3","N_TOWN_50K_120MN_Q3","POP_TOWN_5K_15MN_Q3","POP_TOWN_5K_30MN_Q3","POP_TOWN_5K_60MN_Q3","POP_TOWN_5K_120MN_Q3","POP_TOWN_10K_15MN_Q3","POP_TOWN_10K_30MN_Q3","POP_TOWN_10K_60MN_Q3","POP_TOWN_10K_120MN_Q3","POP_TOWN_50K_15MN_Q3","POP_TOWN_50K_30MN_Q3","POP_TOWN_50K_60MN_Q3","POP_TOWN_50K_120MN_Q3"
"1","AT11",1716,298141,13956,6,17.2,33.85,41,24.5,49.6,61.35,30,55.95,80.55,0,2,13,58,0,0,3,22,NA,NA,1,4,0,17990,342363,2656195,0,0,279700,2422761,NA,NA,279700,2048521,13.6730795160679,26.3151398163957,37.2057066958251,21.2713830033441,36.4969672067914,57.6554331675281,25.7717895224072,41.3169681459444,73.528253745711,0.823137374597925,4.67920883072104,22.4403151528975,73.6268711784022,0.327925377589798,2.0159756625221,9.51523607957309,29.1787308689513,NA,NA,NA,4.50875927832804,12106.4184597221,246045.195531644,1421655.16052472,2720258.93015385,8745.63803368205,227892.665306013,1334561.91435931,2422539.44922704,NA,NA,NA,1920319.31899336,12.075,22.05,32.5,19.2,31.6,55.7,24,36.3,70.3,0,2,10,51,0,0,2,18,NA,NA,1,3,0,11004,123457,902061,0,0,71399,693530,NA,NA,60831,362261,22.6,46.325,48.8,29,58,68,34.3,66.625,91.2,1,4,23,80,0,1,11,31,NA,NA,2,5,5987,69297,1994424,3104246,0,60831,1899342,2799617.75,NA,NA,1747091,2225355
"2","AT12",11061,1709098,170505,65,17.6,26.8,50.4,24.9,38.4,79.1,29.1,45,92.6,0,3,18,64,0,1,6,21,NA,NA,1,3,0,25871,1809048,2583447,0,13168,1736950,2289443,NA,NA,1686260,1960124,10.9290600070915,18.531534119167,34.1785363975617,18.6021502570362,29.5364574763998,NA,22.7609770182869,35.137152170326,NA,1.50337429451091,6.20253607458437,25.3762709920672,73.6746687433956,0.657047752674218,2.58194088343676,9.40912574937189,27.186135610714,NA,NA,NA,NA,336002.387141053,795824.036672561,1666643.79287788,2681658.88067448,330021.822753289,770551.794059791,1555689.43383527,2367360.43346315,NA,NA,NA,NA,10.9,17.5,33.8,17.5,28.2,65.9,21.7,34.1,80.8,0,1,9,56,0,0,3,16,NA,NA,1,2,0,7001,97645,2427852,0,0,54788,2155235,NA,NA,1686260,1880665,25.9,39.7,64.6,35.2,52,91.1,40.2,58.2,104.6,1,5,25,75,0,2,9,28,NA,NA,1,4,8574,66666,1951333,2953514,0,42026,1842158,2644320,NA,NA,1686260,2162391
"3","AT13",354,1913032,1826459,223,0,0,0,14.9,19.05,59.15,18.35,22.6,89.3,2,10,39,82,1,5,14,33,1,1,2,3,1692142,1788550,2265175,2942069,1686260,1750020,2132365,2603631,1686260,1686260,1947076,2007837,0.192784752163058,0.192806706840241,0.299519506207946,16.5456192055334,18.8301310171497,58.237346735444,18.7329968866177,21.228196914636,NA,1.48897195655901,10.6037008267504,40.1132798614974,82.0259326555959,1.33836234835591,4.69406627803403,15.2964001647646,33.0071927704293,NA,1,1.61903616876247,3.01787162995705,1694072.06349397,1797714.44762869,2288813.18760115,2935596.69564597,1692794.77787251,1753178.75528428,2115310.75296179,2603900.47521317,NA,1686260,1847714.53739195,2011456.84166182,0,0,0,11.55,12.7,55.125,15.6,18.475,85.75,1,8,35,79,1,4,13,31,1,1,1,3,1686260,1767217.5,2067428,2898961,1686260,1738762,1909519,2566565,1686260,1686260,1686260,2007837,3.875,3.875,4.1,19.1,25.275,64,22.2,26.9,93.6,2,11,41,85,2,5,16,35,1,1,2,3,1698919,1802214,2386909,2976020.5,1698919,1768429,2208938,2628714,1686260,1686260,1947076,2007837
"4","AT21",4805,564334,87896,24,23.2,35.8,42.3,37.5,55.2,84.6,44.1,67.4,100.1,0,1,5,37,0,0,2,14,NA,NA,1,3,0,7563,122019,765555,0,0,100729,570768,NA,NA,66998,368428,13.6020533939121,21.8881967062059,31.941677446335,31.5718696729242,43.3292209932416,NA,38.2214126740546,57.252948076848,NA,0.595771298557237,1.82546860547123,7.78194650685587,39.845940524583,0.379238181644204,0.834658198868046,3.61189827300854,15.0286886843607,NA,NA,NA,NA,22398.4730354719,52045.9877554781,163492.371827677,796465.559583509,20872.3427332041,44774.0630725776,132854.029978701,618346.125333579,NA,NA,NA,NA,15.5,23.8,28.3,29.4,43.3,72.6,36.3,58.1,91.3,0,0,3,28,0,0,1,12,NA,NA,1,2,0,0,82508,567231,0,0,66998,438198,NA,NA,66998,285867,31.3,46.7,56,45.9,64.2,101.6,54.3,78.4,113.4,0,2,8,43,0,1,3,16,NA,NA,1,4,0,66998,148448,919046,0,66998,112377,745374,NA,NA,66998,578212
"5","AT22",9126,1252239,292106,72,19.6,38.1,46.7,27.8,48.4,68.9,33.7,57.3,92.4,0,2,11,48,0,0,3,13,NA,NA,1,3,0,14937,301978,813935,0,0,247315,546767.5,NA,NA,218869,368428,11.4161297483947,23.4123649718624,30.8924329141642,21.1135528441455,34.9120776465196,NA,27.1195607228332,48.0608893350231,NA,1.12882125536739,3.20303312706281,14.4749788179413,47.3977587345547,0.50237853955994,1.13970176619639,4.05790268471115,11.9887944713429,NA,NA,NA,NA,76437.2439686034,132513.930222585,347738.163202871,967616.692109094,72274.2585968014,118366.032797254,274713.961767682,718982.413172725,NA,NA,NA,NA,13.4,25.6,31.8,21.6,35.9,55.8,27,46,81.7,0,1,7,40,0,0,2,10,NA,NA,1,3,0,5519,78417,694279.5,0,0,36928,469139,NA,NA,218869,362261,27.675,51.2,63.3,36.9,59.9,85,43,67.1,102.6,1,3,14,52,0,1,4,15,NA,NA,2,3,6394,39557,380396.5,893558,0,23437,316385,629906,NA,NA,301430,464254
"6","AT31",9281,1504753,338572,101,16,30,36.2,23.5,41.6,52.8,28.2,46.3,80.3,0,3,20,60,0,0,5,15,NA,NA,2,3,0,28709,384181,892796,0,0,277774,595387,NA,NA,245385,377611,9.88944298499484,19.468387170519,24.6033160924085,18.0444460320065,31.3317633525236,42.0708228526542,22.3195670651595,36.3447568471371,NA,1.56870994774558,6.41859162267827,23.6534833291577,61.1553470901869,0.599941651553444,1.83043861683612,5.65697293841581,16.1838806767622,NA,NA,NA,3.38415939360147,67010.7098188208,162305.286724133,425576.43155056,949894.251641299,60014.3562099561,129865.875622777,298613.906534162,633347.332439942,NA,NA,NA,431328.989733863,10.8,20.3,24.6,17.8,32.7,40.5,22.1,36.3,69.3,0,2,14,53,0,0,4,12,NA,NA,1,3,0,12762,296507,783331,0,0,218546,491332,NA,NA,194405,324844,22.8,38.2,46.7,29.9,49.1,63,34.6,54.6,91.3,1,5,25,70,0,1,6,21,NA,NA,2,4,8191,137690,450575,1013517,0,132226,317004,656767,NA,NA,245385,436439
"7","AT32",2539,560876,164417,45,18.4,41.5,46.3,25.4,46.1,85.1,31.5,53.9,87.4,0,2,10,50,0,0,4,17,NA,NA,1,3,0,16162,212977,652359,0,0,172697,436791,NA,NA,132226,236978,10.733579793038,24.8825596031922,28.5858526661865,20.203522882063,33.2407171995236,NA,26.8305365178756,41.2208798379677,NA,1.11016160434748,4.3643158202526,17.9059292963151,65.6602279291679,0.723086742880779,1.97080816437145,6.42363909313289,20.778243319379,NA,NA,NA,NA,64307.0591164536,116533.238764005,265021.988307576,978060.143555795,61753.525413817,100356.879566963,188027.179194688,659074.067608527,NA,NA,NA,NA,11.85,21.9,24.2,19.5,28.6,71.1,25.1,37.7,77.1,0,1,6,38,0,0,0,13,NA,NA,1,2,0,5345,42877,502668,0,0,0,337596,NA,NA,132226,185998,29.45,63.4,70.6,34.4,68.5,104.9,41.7,74.3,105.9,1,4,18,74,0,2,7,22,NA,NA,1,4,7506,153373,276555,1058529,0,144204,207710,696473,NA,NA,132226,431383
"8","AT33",3053,764919,179173,41,16.5,23.7,48.4,25.5,35.9,81.2,32.2,44.9,95.9,0,2,11,66,0,1,6,30,NA,NA,1,4,0,18433,206371,2385378,0,13066,167219,2122654,NA,NA,113111,1787389,9.21715541122656,14.249174618489,NA,20.6016706344071,29.3127409568856,NA,26.7141429353958,36.8258687521162,NA,1.42205776036417,4.69570242077919,15.1399037022221,69.7633958628299,0.936452094927698,2.89394824811516,7.33614801044294,31.4028165073688,NA,NA,NA,NA,48060.631832913,98970.4580105867,309791.118902786,2133189.80087042,44870.4038506038,87150.7609393936,256287.99756837,1857296.39559875,NA,NA,NA,NA,10,13.9,32,18.3,25.7,67.85,23.3,33.3,83.7,0,1,5,45,0,0,2,21,NA,NA,1,3,0,10836,68264,706840,0,0,27984,533627,NA,NA,113111,292916,24.7,35.6,66.525,36.4,51.8,95.7,45.7,60.6,107.5,1,4,16,82,1,2,8,38,NA,NA,1,4,11691,60506,255263,2602038,10519,35196,207008,2296208,NA,NA,113111,1787389
"9","AT34",963,414813,80706,27,13.5,19.5,28.3,20.1,25.1,49.4,24.9,29.9,69.8,1,5,26,124,0,3,13,56,NA,1,2,6,5914,86276,467433,2427367,0,86276,367179,1945215,NA,50469,121990,1013627,7.1089867000311,9.62666719702612,18.4152647096402,13.8744962187781,16.5686220055784,38.8986507173112,17.5048146996357,20.9350545908638,65.800395599945,2.85495874044449,10.3714830538098,38.7216697644481,128.237068269317,2.01984990827192,6.03958410175187,17.9775537410833,57.2776142502766,NA,NA,NA,6.25717612514555,63908.7160479541,189916.181932582,611814.178735961,2476658.41335493,57282.5955502841,156093.580644772,454551.130130926,1966570.0515196,NA,NA,NA,1023755.49013652,7.2,8.8,17.3,13.5,14.7,38.6,16.9,19.5,60.75,0,2,15,96,0,0,8,46,NA,1,2,6,0,14117,240041,1986798.5,0,0,181418,1657341,NA,50469,108284,1013627,24.2,31.3,41.6,29.6,37,61,36.1,41.1,85.5,2,11,40,133,2,6,18.5,60,NA,1,2,7,41974,201691,619563.5,2608764,35807,155504,461100,2058816.5,NA,50469,121990,1139667
"10","BE10",150,1201067,1188140,132,0,0,0,14.45,16.05,25.75,18.05,19.4,27.9,2,15,91,230,1,9,41,102,1,3,10,22,1247485,1549903,3554102,7470296.5,1241750,1498751,3207087,6586702.5,1241750,1378157,2604912,5076205,0.0375223030855065,0.0375223030855065,0.0375223030855065,15.2392095528393,15.9174533144279,25.1628496162163,17.9532253404681,19.2014237340631,27.1736172919579,1.58957243850676,15.0477317252077,90.7759900155445,231.045982447274,1.46549443120159,9.01787077656783,41.2045747656042,102.655522131571,1,2.66867710127745,10.1189775424685,21.7889002029029,1250557.56654208,1598977.0833742,3594763.62165724,7475321.45982364,1249784.24559579,1557619.6663883,3243491.46576086,6580881.20910407,1241750,1409278.37297087,2638565.31385759,5040661.3132573,0,0,0,11.425,12.925,21.55,15.525,16.825,23.8,1,14,87,227,1,8,40,101,1,2,10,22,1241750,1501191.75,3500571,7437757,1241750,1459755,3164386,6553238,1241750,1307743,2604912,5049216,0,0,0,17.4,18.4,28.975,19.275,21.4,31.15,2,17,93,233,2,10,42,104,1,3,10,22,1251940,1578391.5,3604257,7528916.5,1251940,1536489,3251063.25,6638030,1241750,1378157,2604912,5076205
