"","lv1","lv2","n","TOT_P_2021","urban_pop","n_0","TIME_TOWN_5K_1_MED","TIME_TOWN_10K_1_MED","TIME_TOWN_50K_1_MED","TIME_TOWN_5K_2_MED","TIME_TOWN_10K_2_MED","TIME_TOWN_50K_2_MED","TIME_TOWN_5K_3_MED","TIME_TOWN_10K_3_MED","TIME_TOWN_50K_3_MED","N_TOWN_5K_15MN_MED","N_TOWN_5K_30MN_MED","N_TOWN_5K_60MN_MED","N_TOWN_5K_120MN_MED","N_TOWN_10K_15MN_MED","N_TOWN_10K_30MN_MED","N_TOWN_10K_60MN_MED","N_TOWN_10K_120MN_MED","N_TOWN_50K_15MN_MED","N_TOWN_50K_30MN_MED","N_TOWN_50K_60MN_MED","N_TOWN_50K_120MN_MED","POP_TOWN_5K_15MN_MED","POP_TOWN_5K_30MN_MED","POP_TOWN_5K_60MN_MED","POP_TOWN_5K_120MN_MED","POP_TOWN_10K_15MN_MED","POP_TOWN_10K_30MN_MED","POP_TOWN_10K_60MN_MED","POP_TOWN_10K_120MN_MED","POP_TOWN_50K_15MN_MED","POP_TOWN_50K_30MN_MED","POP_TOWN_50K_60MN_MED","POP_TOWN_50K_120MN_MED","TIME_TOWN_5K_1_wmean","TIME_TOWN_10K_1_wmean","TIME_TOWN_50K_1_wmean","TIME_TOWN_5K_2_wmean","TIME_TOWN_10K_2_wmean","TIME_TOWN_50K_2_wmean","TIME_TOWN_5K_3_wmean","TIME_TOWN_10K_3_wmean","TIME_TOWN_50K_3_wmean","N_TOWN_5K_15MN_wmean","N_TOWN_5K_30MN_wmean","N_TOWN_5K_60MN_wmean","N_TOWN_5K_120MN_wmean","N_TOWN_10K_15MN_wmean","N_TOWN_10K_30MN_wmean","N_TOWN_10K_60MN_wmean","N_TOWN_10K_120MN_wmean","N_TOWN_50K_15MN_wmean","N_TOWN_50K_30MN_wmean","N_TOWN_50K_60MN_wmean","N_TOWN_50K_120MN_wmean","POP_TOWN_5K_15MN_wmean","POP_TOWN_5K_30MN_wmean","POP_TOWN_5K_60MN_wmean","POP_TOWN_5K_120MN_wmean","POP_TOWN_10K_15MN_wmean","POP_TOWN_10K_30MN_wmean","POP_TOWN_10K_60MN_wmean","POP_TOWN_10K_120MN_wmean","POP_TOWN_50K_15MN_wmean","POP_TOWN_50K_30MN_wmean","POP_TOWN_50K_60MN_wmean","POP_TOWN_50K_120MN_wmean","TIME_TOWN_5K_1_Q1","TIME_TOWN_10K_1_Q1","TIME_TOWN_50K_1_Q1","TIME_TOWN_5K_2_Q1","TIME_TOWN_10K_2_Q1","TIME_TOWN_50K_2_Q1","TIME_TOWN_5K_3_Q1","TIME_TOWN_10K_3_Q1","TIME_TOWN_50K_3_Q1","N_TOWN_5K_15MN_Q1","N_TOWN_5K_30MN_Q1","N_TOWN_5K_60MN_Q1","N_TOWN_5K_120MN_Q1","N_TOWN_10K_15MN_Q1","N_TOWN_10K_30MN_Q1","N_TOWN_10K_60MN_Q1","N_TOWN_10K_120MN_Q1","N_TOWN_50K_15MN_Q1","N_TOWN_50K_30MN_Q1","N_TOWN_50K_60MN_Q1","N_TOWN_50K_120MN_Q1","POP_TOWN_5K_15MN_Q1","POP_TOWN_5K_30MN_Q1","POP_TOWN_5K_60MN_Q1","POP_TOWN_5K_120MN_Q1","POP_TOWN_10K_15MN_Q1","POP_TOWN_10K_30MN_Q1","POP_TOWN_10K_60MN_Q1","POP_TOWN_10K_120MN_Q1","POP_TOWN_50K_15MN_Q1","POP_TOWN_50K_30MN_Q1","POP_TOWN_50K_60MN_Q1","POP_TOWN_50K_120MN_Q1","TIME_TOWN_5K_1_Q3","TIME_TOWN_10K_1_Q3","TIME_TOWN_50K_1_Q3","TIME_TOWN_5K_2_Q3","TIME_TOWN_10K_2_Q3","TIME_TOWN_50K_2_Q3","TIME_TOWN_5K_3_Q3","TIME_TOWN_10K_3_Q3","TIME_TOWN_50K_3_Q3","N_TOWN_5K_15MN_Q3","N_TOWN_5K_30MN_Q3","N_TOWN_5K_60MN_Q3","N_TOWN_5K_120MN_Q3","N_TOWN_10K_15MN_Q3","N_TOWN_10K_30MN_Q3","N_TOWN_10K_60MN_Q3","N_TOWN_10K_120MN_Q3","N_TOWN_50K_15MN_Q3","N_TOWN_50K_30MN_Q3","N_TOWN_50K_60MN_Q3","N_TOWN_50K_120MN_Q3","POP_TOWN_5K_15MN_Q3","POP_TOWN_5K_30MN_Q3","POP_TOWN_5K_60MN_Q3","POP_TOWN_5K_120MN_Q3","POP_TOWN_10K_15MN_Q3","POP_TOWN_10K_30MN_Q3","POP_TOWN_10K_60MN_Q3","POP_TOWN_10K_120MN_Q3","POP_TOWN_50K_15MN_Q3","POP_TOWN_50K_30MN_Q3","POP_TOWN_50K_60MN_Q3","POP_TOWN_50K_120MN_Q3"
"1","Cities","AT12",23,65294,65294,23,0,0,0,13,17,59.4,15.7,19.2,89.05,2,10,39,77,1,5,15,29,1,1,2,4,1693532,1804464,2369301,2901341,1686260,1768429,2208938,2579404,1686260,1686260,1947076,2068668,0,0,0,12.3471054001899,17.2861993445033,59.9270714001287,15.4348301528471,19.8286243758998,NA,2.22398689006647,10.0762550923515,38.6760498667565,77.5557172175085,1.10633442582779,5.37646644408368,14.4556161362453,29.7131589426287,1,1,1.56913345789812,3.7010445063865,1696893.56705057,1805777.72268509,2258837.0155757,2914348.41795571,1688426.12096058,1771503.58394339,2092023.11455876,2593259.84191503,1686260,1686260,1834699.11195516,2064520.36618985,0,0,0,10.2,15.9,58.7,14.1,18.4,87.875,1,9,37.5,76,1,5,14,29,1,1,1,3.5,1686260,1798650.5,2110042,2895188.5,1686260,1768429,1948122,2576307.5,1686260,1686260,1686260,2038287.5,0,0,0,15.2,18.95,61.15,17.55,21.5,90.475,3,11,40,77.5,1,5.5,15,30,1,1,2,4,1701637,1811878.5,2379416,2913654.5,1686260,1773619,2208938,2594773.5,1686260,1686260,1947076,2068668
"2","Cities","AT13",221,1806940,1806940,221,0,0,0,16.2,19.5,59.1,18.3,22,89.9,1,10,39,82,1,5,15,33,1,1,2,3,1686260,1794942,2314462,2935356,1686260,1750020,2146365,2603631,1686260,1686260,1947076,2007837,0,0,0,16.9880154294,19.2941162960585,58.4205652096915,18.930124962644,21.3929473585177,NA,1.44016569448903,10.6908037898325,40.2218751037666,81.9212359015795,1.28684350338141,4.71549636401873,15.2619290070506,32.9019862308654,1,1,1.60874959876919,3.00988688058264,1693222.32312362,1798760.19449456,2286330.72173509,2933287.4966684,1691918.37921403,1753790.71039769,2111932.13874008,2601568.45911873,1686260,1686260,1845031.63535258,2010558.08832723,0,0,0,13.7,15.4,55.8,16.2,18.7,86.8,1,9,37,79,1,4,14,31,1,1,1,3,1686260,1778624,2111599,2898961,1686260,1738762,1948122,2566565,1686260,1686260,1686260,2007837,0,0,0,19.3,24.1,63,21.9,25.8,93.65,2,12,41,85,1,6,15,35,1,1,2,3,1698919,1811167,2386909,2960439,1686260,1781088,2208938,2628714,1686260,1686260,1947076,2007837
"3","Cities","AT21",19,72072,72072,19,0,0,0,23.7,31.8,68.5,28.7,44.2,91.3,1,3,11,44,1,1,6,16,1,1,1,4,66998,82508,198566,953039,66998,66998,162495,763809,66998,66998,66998,578212,0,0,0,23.8136377511377,31.6909951159951,67.8786241536242,28.7693986568986,43.6270854145854,92.2802697302698,1,3.00459262959263,10.27775002775,43.7075008325008,1,1.23441835941836,5.27775002775003,16.4909673659674,1,1,1,3.63199300699301,66998,88588.7406066156,184104.776778777,953372.661033411,66998,74905.1656815407,148033.776778777,756366.516122766,66998,66998,66998,548964.29505217,0,0,0,22.05,30.2,66.45,27.6,42.15,89.8,1,2.5,9,41,1,1,4,15.5,1,1,1,3,66998,78534.5,159318,911589.5,66998,66998,123247,706652,66998,66998,66998,497720,0,0,0,24.85,33.9,70.6,30.1,46.35,94.75,1,3,11,45,1,1,6,17,1,1,1,4,66998,82508,198566,983535,66998,66998,162495,787144,66998,66998,66998,578212
"4","Cities","AT22",52,238984,238984,52,0,0,0,11.95,16.2,50.1,17.3,40.55,89.9,2,4,19,49,1,2,6,10,1,1,2,4,224064,246858,447214,806148,218869,233824,353313,529970,218869,218869,301430,429259,0,0,0,11.7514164128142,15.5665454591102,49.7472429116593,16.6726642787802,40.1169705921735,89.5909575536437,2.12396227362501,3.95421869246477,19.2763699661902,48.7607203829545,1.36664797643357,2,6,10.0013850299602,1,1,2,3.99104961001573,228286.468261474,246446.126230208,448678.408131925,803965.179116594,224352.220487564,233824,353313,529690.047316975,218869,218869,301430,428659.341771834,0,0,0,10.15,12.875,47.25,15.775,37.4,86.875,2,4,18,49,1,2,6,10,1,1,2,4,224064,246858,439882,806148,218869,233824,353313,529970,218869,218869,301430,429259,0,0,0,13.225,18.35,53.5,19.225,43.875,92.575,2,4,20,49,2,2,6,10,1,1,2,4,233824,246858,454379.5,806148,233824,233824,353313,529970,218869,218869,301430,429259
"5","Cities","AT31",72,265834,265834,72,0,0,0,11.1,13.45,25.75,13.5,21,81.8,3,12,29,53,2,4,6,12,1,2,2,3,214251,321299,477926,768607,205850,269526,317004,481292,194405,245385,245385,324844,0,0,0,10.7711293513997,14.8787897710601,26.0228225132978,13.7899042259455,20.8386135708751,80.6960358720103,3.11113702536169,11.5398594611675,29.1083570950292,53.8554172904896,1.59879097481887,3.74238058337158,6.09697028972968,12.4837680657854,1,1.85466494127914,2,3.24201569400453,183447.340942092,317209.544038761,479247.61009126,801237.098508844,172231.639011564,262484.181602052,318971.080140238,509694.060488877,165374.593900705,237975.818706411,245385,356844.767155443,0,0,0,8.45,10.325,23.65,12.1,19.95,78.175,2,11,29,51,1,3,6,11,1,2,2,3,199670,313970,475565,740374.75,194405,256830,317004,454154,194405,245385,245385,324844,0,0,0,12.85,19.7,27.725,15.875,22.775,86.325,4,12,30,54,2,4,6,12,1,2,2,4,222164,324890,484075,849712,205850,269526,317004,573212,194405,245385,245385,457070
"6","Cities","AT32",37,141464,141464,37,0,0,0,14.1,14.1,59.4,20.5,22.2,72.4,2,7,27,79,2,4,11,24,1,1,2,3,144204,188072,403037,914132,144204,172697,297285,519138,132226,132226,185998,236978,0,0,0,14.0571410394164,14.0571410394164,58.8485650059379,20.5331010009614,23.0078811570435,72.5487318328338,1.62345190295764,6.93979386981847,26.9112777809195,78.5969221851496,1.62345190295764,3.44477746988633,10.174023073008,24.2563054911497,1,1,1.68578578295538,3.14835576542442,139693.706893627,187782.374455692,385325.351241305,983849.808728723,139693.706893627,164052.742973477,274698.808863032,594532.56359922,132226,132226,169102.073121077,304794.125897755,0,0,0,12.4,12.4,57.1,19.2,20.2,69.9,1,6,23,76,1,3,9,23,1,1,1,3,132226,184118,333017,888053,132226,157218,233505,507693,132226,132226,132226,236978,0,0,0,17.1,17.1,61.1,21.7,24.7,74.9,2,7,29,81,2,4,11,26,1,1,2,3,144204,193536,414895,977064,144204,172697,297285,576415,132226,132226,185998,236978
"7","Cities","AT33",22,122455,122455,22,0,0,0,12.6,14,85,16.1,17.9,89.75,2,7,17,71,2,6,9,30,1,1,1,5,132023,186623,269795,2458942,132023,180255,217844,2165128,113111,113111,113111,1807942,0,0,0,12.6385317055245,14.2702298803642,85.2210926462782,16.1695349311992,17.8797574619248,89.6216634682128,2.0946306806582,6.92129353640113,17.2826017720795,70.9117961700216,1.74900984034952,5.6965660855008,8.9376832305745,30.6457555836838,1,1,1,5,128790.778890205,183787.349663142,272596.752635662,2468907.98289167,126589.865379119,176208.967612592,217634.613768323,2181015.81338451,113111,113111,113111,1807942,0,0,0,11.825,12.425,83.325,15.25,16.25,88.4,2,6.25,17,69.25,1,5,9,29.25,1,1,1,5,119479,174903.5,269795,2438122.75,113111,167189,217844,2157221.5,113111,113111,113111,1807942,0,0,0,13.65,16.3,87.425,17,19.675,91.55,2,7,17.75,72,2,6,9,32,1,1,1,5,132023,186623,276342.5,2496267.5,132023,180255,217844,2210325.5,113111,113111,113111,1807942
"8","Cities","AT34",19,54171,54171,19,0,0,0,12.6,13.2,31.4,15,16.1,60.2,2,12,47,145,2,8,21,63,1,1,2,7,86276,219283,737796,2750394,86276,183095,535435,2170912,50469,50469,121990,1139667,0,0,0,12.4856676081298,13.6096287681601,31.2198334902439,15.042578132211,15.9673146148308,59.9174262982038,2.5722988314781,12.2802421960089,47.6799394509978,144.450923926086,2.12107954440568,7.87137029037677,21.487419467981,62.8946115080024,1,1.28072215761201,2.40793044248768,6.66291927415038,87462.3117904414,232156.861697218,727511.147403592,2715386.87943734,83694.7761163722,199186.91613594,530386.890808735,2131070.64877887,50469,70546.5294345683,156834.19460597,1097181.34531391,0,0,0,10.85,12.4,29.8,14.65,14.9,58.6,2,11.5,47,143.5,2,7.5,21,62,1,1,2,6,80696,213608,687718,2633290,72276,183095,493026,2044872,50469,50469,121990,1013627,0,0,0,13.35,14.85,32.85,15.85,16.9,61.65,3,13,48,145,2.5,8,22,63,1,2,3,7,97643.5,262939,774436,2759330,93433.5,232426,578443,2170912,50469,121990,207407,1139667
"9","Cities","BE10",132,1188140,1188140,132,0,0,0,14.85,15.9,25.3,17.95,19.35,27.75,2,15,91,231,1,9,41,102,1,3,10,22,1247485,1549903,3561008.5,7473741,1241750,1499165,3208906,6588486,1241750,1378157,2604912,5076205,0,0,0,15.2546976787247,15.9091962226674,25.1360459205144,17.9570328412477,19.2031418856364,27.1449434410086,1.58657397276415,15.0541064184355,90.851242277846,231.103459188311,1.46623882707425,9.02795798474927,41.2367229451075,102.672759944114,1,2.6733112259498,10.121842543808,21.7843478041308,1250523.07783426,1599051.91016968,3596070.54631357,7475591.19279799,1249780.02329523,1557748.7455485,3244455.73645193,6580908.73511118,1241750,1409279.82296531,2639048.88916878,5040237.32551888,0,0,0,11.475,12.85,21.5,15.575,16.775,23.65,1,14,88,228,1,8,40,101,1,2,10,22,1241750,1502842.5,3511538.25,7446169,1241750,1470496,3182864,6555568.25,1241750,1307743,2604912,5049216,0,0,0,17.5,18.325,28.525,19.3,21.4,30.925,2,17,94,233,2,10,42.25,104,1,3,10,22,1251940,1578759,3610890.75,7533628.75,1251940,1536489,3258492,6638030,1241750,1378157,2607955,5076205
"10","Cities","BE21",152,708694,708694,152,0,0,0,9.8,11.6,14.8,12.7,14.25,21.4,4,24,103,268,3,14,49,136,2,4,11,33,627797,1017007,3992081,10347970,622101,926051,3630888,9453903,607915,730944,2924534,7429069,0,0,0,9.9932868064355,11.1292255896057,13.5096769550751,12.3893017296605,13.5314376867872,20.6567387335013,4.12338893796194,25.1174498443616,104.719101615084,266.236543557586,2.93466714830378,14.3824443271708,50.4789260244901,134.951282217713,1.59841624170658,3.49262163924063,11.1896432028492,32.5260253367462,591920.426325043,1440322.28708864,4116023.75785036,10279501.6573923,583868.023364104,1364115.59133843,3725547.13313221,9365088.70358152,559807.248070394,1140656.51727967,2933331.46503145,7292706.43478003,0,0,0,7.575,8.4,10.975,11,12.275,19.175,3,20,94,265,2,12,45,133.75,1,3,10,32,577022.5,963030.5,3794184.25,9837963.25,569249,895091.25,3425399.75,8942869,555063,673908,2676752,6777567,0,0,0,11.725,13.8,16.525,14.4,15.425,23.8,5,27,109,269,4,16,52,138,2,4,12,34,648684,2172627,4337430.25,10576001.75,640772,2125738,3937310,9651574,607915,1915658,3132603,7589466
