"","lv1","lv2","n","TOT_P_2021","urban_pop","n_0","TIME_TOWN_5K_1_MED","TIME_TOWN_10K_1_MED","TIME_TOWN_50K_1_MED","TIME_TOWN_5K_2_MED","TIME_TOWN_10K_2_MED","TIME_TOWN_50K_2_MED","TIME_TOWN_5K_3_MED","TIME_TOWN_10K_3_MED","TIME_TOWN_50K_3_MED","N_TOWN_5K_15MN_MED","N_TOWN_5K_30MN_MED","N_TOWN_5K_60MN_MED","N_TOWN_5K_120MN_MED","N_TOWN_10K_15MN_MED","N_TOWN_10K_30MN_MED","N_TOWN_10K_60MN_MED","N_TOWN_10K_120MN_MED","N_TOWN_50K_15MN_MED","N_TOWN_50K_30MN_MED","N_TOWN_50K_60MN_MED","N_TOWN_50K_120MN_MED","POP_TOWN_5K_15MN_MED","POP_TOWN_5K_30MN_MED","POP_TOWN_5K_60MN_MED","POP_TOWN_5K_120MN_MED","POP_TOWN_10K_15MN_MED","POP_TOWN_10K_30MN_MED","POP_TOWN_10K_60MN_MED","POP_TOWN_10K_120MN_MED","POP_TOWN_50K_15MN_MED","POP_TOWN_50K_30MN_MED","POP_TOWN_50K_60MN_MED","POP_TOWN_50K_120MN_MED","TIME_TOWN_5K_1_wmean","TIME_TOWN_10K_1_wmean","TIME_TOWN_50K_1_wmean","TIME_TOWN_5K_2_wmean","TIME_TOWN_10K_2_wmean","TIME_TOWN_50K_2_wmean","TIME_TOWN_5K_3_wmean","TIME_TOWN_10K_3_wmean","TIME_TOWN_50K_3_wmean","N_TOWN_5K_15MN_wmean","N_TOWN_5K_30MN_wmean","N_TOWN_5K_60MN_wmean","N_TOWN_5K_120MN_wmean","N_TOWN_10K_15MN_wmean","N_TOWN_10K_30MN_wmean","N_TOWN_10K_60MN_wmean","N_TOWN_10K_120MN_wmean","N_TOWN_50K_15MN_wmean","N_TOWN_50K_30MN_wmean","N_TOWN_50K_60MN_wmean","N_TOWN_50K_120MN_wmean","POP_TOWN_5K_15MN_wmean","POP_TOWN_5K_30MN_wmean","POP_TOWN_5K_60MN_wmean","POP_TOWN_5K_120MN_wmean","POP_TOWN_10K_15MN_wmean","POP_TOWN_10K_30MN_wmean","POP_TOWN_10K_60MN_wmean","POP_TOWN_10K_120MN_wmean","POP_TOWN_50K_15MN_wmean","POP_TOWN_50K_30MN_wmean","POP_TOWN_50K_60MN_wmean","POP_TOWN_50K_120MN_wmean","TIME_TOWN_5K_1_Q1","TIME_TOWN_10K_1_Q1","TIME_TOWN_50K_1_Q1","TIME_TOWN_5K_2_Q1","TIME_TOWN_10K_2_Q1","TIME_TOWN_50K_2_Q1","TIME_TOWN_5K_3_Q1","TIME_TOWN_10K_3_Q1","TIME_TOWN_50K_3_Q1","N_TOWN_5K_15MN_Q1","N_TOWN_5K_30MN_Q1","N_TOWN_5K_60MN_Q1","N_TOWN_5K_120MN_Q1","N_TOWN_10K_15MN_Q1","N_TOWN_10K_30MN_Q1","N_TOWN_10K_60MN_Q1","N_TOWN_10K_120MN_Q1","N_TOWN_50K_15MN_Q1","N_TOWN_50K_30MN_Q1","N_TOWN_50K_60MN_Q1","N_TOWN_50K_120MN_Q1","POP_TOWN_5K_15MN_Q1","POP_TOWN_5K_30MN_Q1","POP_TOWN_5K_60MN_Q1","POP_TOWN_5K_120MN_Q1","POP_TOWN_10K_15MN_Q1","POP_TOWN_10K_30MN_Q1","POP_TOWN_10K_60MN_Q1","POP_TOWN_10K_120MN_Q1","POP_TOWN_50K_15MN_Q1","POP_TOWN_50K_30MN_Q1","POP_TOWN_50K_60MN_Q1","POP_TOWN_50K_120MN_Q1","TIME_TOWN_5K_1_Q3","TIME_TOWN_10K_1_Q3","TIME_TOWN_50K_1_Q3","TIME_TOWN_5K_2_Q3","TIME_TOWN_10K_2_Q3","TIME_TOWN_50K_2_Q3","TIME_TOWN_5K_3_Q3","TIME_TOWN_10K_3_Q3","TIME_TOWN_50K_3_Q3","N_TOWN_5K_15MN_Q3","N_TOWN_5K_30MN_Q3","N_TOWN_5K_60MN_Q3","N_TOWN_5K_120MN_Q3","N_TOWN_10K_15MN_Q3","N_TOWN_10K_30MN_Q3","N_TOWN_10K_60MN_Q3","N_TOWN_10K_120MN_Q3","N_TOWN_50K_15MN_Q3","N_TOWN_50K_30MN_Q3","N_TOWN_50K_60MN_Q3","N_TOWN_50K_120MN_Q3","POP_TOWN_5K_15MN_Q3","POP_TOWN_5K_30MN_Q3","POP_TOWN_5K_60MN_Q3","POP_TOWN_5K_120MN_Q3","POP_TOWN_10K_15MN_Q3","POP_TOWN_10K_30MN_Q3","POP_TOWN_10K_60MN_Q3","POP_TOWN_10K_120MN_Q3","POP_TOWN_50K_15MN_Q3","POP_TOWN_50K_30MN_Q3","POP_TOWN_50K_60MN_Q3","POP_TOWN_50K_120MN_Q3"
"1","Cities","AT",465,2767214,2767214,465,0,0,0,14,17,57,17.3,22,87.8,2,10,36,78,1,4,13,30,1,1,2,3,1686260,1710117,2038818,2850756,1686260,1686260,1872585,2528819,1686260,1686260,1686260,2007837,0,0,0,15.5763659044801,18.2222119792687,55.5164654775525,18.2988383984759,23.3198075392796,NA,1.72726756947601,9.64844063379269,34.9794016653573,75.8299108778721,1.36596374548553,4.35266011230067,12.8844520156374,28.5053877293191,1,1.08759929662108,1.65597962427192,3.31609047944973,1199318.43832967,1293507.12384984,1681816.98812127,2368089.71243352,1196678.82930449,1254436.59286922,1527482.82051009,2043000.72146643,1190171.97302232,1197539.48917467,1316133.24390488,1564234.68515409,0,0,0,11.8,13.2,49,15.2,19,83.3,1,7,27,53,1,3,6,16,1,1,1,3,199670,246858,449639,879019,194405,233824,317004,529970,194405,218869,245385,429259,0,0,0,17.5,21.8,62.5,20.3,26.8,91.9,2,12,40,83,2,5,15,33,1,1,2,4,1686260,1798508,2324964,2935356,1686260,1750020,2146365,2603631,1686260,1686260,1947076,2007837
"2","Cities","BE",812,3487616,3487616,812,0,0,0,12.75,15.05,21,15.85,19.7,27.4,2,15,81,223,1,8,39,97,1,3,10,22,361543,821433.5,3486829,7313682.5,361543,764017.5,3178550.5,6404459,361543,673908,2604912,4967944,0.0261027016735787,0.0261027016735787,0.0261027016735787,13.8514199097607,15.4365531067641,21.9674393339175,16.4125864200646,19.1946653530664,27.3749587397236,2.35125570016883,16.0878408058685,84.2027075228466,223.533943243752,1.77960274296253,8.84109231062135,39.0195672344662,102.122846953334,1.14234279232576,2.70790849680699,9.84357566888098,23.0371176184534,710254.227620529,1151522.97350339,3437273.47322096,7669610.47854924,706494.217851965,1100588.32064941,3119099.97287259,6825294.85606816,695319.259804692,971694.394453403,2548064.25706787,5290289.77466241,0,0,0,9.675,11.675,17.1,12.9,15.7,23,1,11,62,183,1,5.75,27,81,1,2,9,18,216134,425220,2640677.75,6134714,209647,368273,2367099.75,5395440,209647,328345,2074321,4289016,0,0,0,17.4,19.1,26.5,19.325,22.6,32.9,3,18,93,235,2,11,44,105,1,3,11,24,992540,1507216,3845675.75,7815653,981871.25,1470496,3516515.5,6929983.25,977611,1307743,2884821,5444335
"3","Cities","BG",398,2617717,2617717,398,0,0,0,18.8,23.7,62.5,22.5,36.4,76.7,1,4,12,34,1,2,6,14,1,1,1,3,299493,317681,507905,1117866,299493,299493,466226,1006275,281835,281835,389361,735111,0.0157879556881053,0.0157879556881053,0.0157879556881053,19.41234442073,24.06488008444,60.2154820402664,25.0780485820278,37.1288877292694,NA,1.38560852834741,5.42621337600665,13.0636745683357,31.8084647805702,1.14743763363267,2.46257865155019,5.63884713282605,13.140145019496,1.00273482580432,1.08844959176259,1.52410172681004,3.28356159202847,579118.481561605,624835.074035505,763523.928039968,1270144.90422685,577598.331222588,606989.044601078,715123.701708397,1144682.1047768,574226.651578838,579714.747479961,630975.988088858,934678.671997775,0,0,0,16,18.8,42.5,18.8,26.15,65.55,1,2,8,26,1,1,4,13,1,1,1,3,85641,102615,215863,726817,85641,102615,202980,658603,85641,102615,155517,473295,0,0,0,22.4,30.375,71.8,35.875,46.8,88.85,1,8,18,37,1,3,7,15,1,1,2,4,1147110,1195881,1328998,1665823,1147110,1159556,1258956,1508532,1147110,1147110,1147110,1278564
"4","Cities","CH",652,2729276,2729276,652,0,0,0,12,15.1,26.85,15.1,19.25,42.25,2,15,60,172.5,1,6,25,68,1,2,4,10,409235.5,527481,1754521.5,3900440.5,402511,477670,1442506,3173852,391142,407878,955812,1988490,0.272822536086493,0.272822536086493,0.272822536086493,11.6373289106708,14.3433713189872,28.0455887935115,14.631521766212,18.1527206848996,42.3282363894307,2.91873705700706,15.8170148420314,58.0615078870733,149.847118429943,1.8222140230596,6.76229813327784,24.917103656794,61.8903515071396,1.03333081740359,1.69686099903418,4.46674795806654,9.60837013185914,395813.662696261,634631.32969183,1716416.65911985,3483173.60437347,388152.304640132,570387.856640003,1478848.59585582,2862420.34508969,374934.975321294,471633.63079989,1082799.58306122,1860209.24867108,0,0,0,9.5,12,21.875,12.9,15.7,35.9,2,12,40,129,1,5,17,48,1,1,3,8,166933,331374,1058696,3259888.75,161053,268935,953725,2554548.75,161053,217838,728784,1766451.5,0,0,0,14.8,18.425,32.9,17.6,22.2,49.225,4,19,77,191,2,8,33,80,1,2,5,12,656419,947213,2143241,4242244.5,656419,863116,1880963,3436469,656419,748405,1386017,2139337
"5","Cities","CY",134,438861,438861,134,0,0,0,12.4,15.45,39.45,25.2,25.2,62.6,2,3,6,10,1,3,5,7,1,1,2,3,163662,163662,300523,502196,156304,156304,300523,482972,156304,156304,263682,419986,0,0,0,12.1504868284035,27.4894832304534,43.1871444489257,33.8681865100795,34.8563722909988,61.5776788094636,1.80749257737644,2.67243842583415,6.20794966971319,9.74167674958586,1.44923107772165,2.24989233493065,5.2302072865896,6.80232237542183,1,1,2.2645552919945,3,170160.568692593,180643.758791508,339081.650565897,496629.216098036,167524.480578133,177637.24562219,332876.068743862,477803.718505404,162242.891430316,162242.891430316,291161.79132117,419986,0,0,0,10.1,12.4,36.725,22.625,22.625,59.425,2,2,5,9,1,1,5,7,1,1,2,3,163662,163662,280853,495625,156304,156304,273495,482972,156304,156304,222119,419986,0,0,0,14.8,50.95,51.15,50.95,53.475,65.175,2,3,7,10,2,3,6,7,1,1,3,3,209477,222313,462122,502196,209477,222313,456827,482972,197867,197867,419986,419986
"6","Cities","CZ",543,2497069,2497069,543,0,0,0,15.8,18.2,35.1,18.7,24.6,59.9,1,9,37,99,1,3,13,43,1,1,2,8,313790,450556,1540057,2726345,313790,434641,1364631,2353661,298302,313790,1183054,1701055,0,0,0,15.3941782145387,18.7873094015424,35.8162654295897,18.407224990579,25.3746069091403,NA,1.64736897538674,9.13743472847566,35.414678168685,102.45871780075,1.35501862383458,3.82465322343916,14.8699947818823,45.6137803961364,NA,1.57257448632777,3.23667387645275,8.02199498692267,605136.671880513,732709.026456618,1358535.88231042,2720209.0968115,603236.344376147,698224.586325007,1220129.56338892,2340653.93221973,NA,654069.604735792,988900.439666665,1605843.92443501,0,0,0,11.4,13.5,20.7,15.9,19.1,52.9,1,7,29,94,1,2,11,33,1,1,2,6,79681,191682,676211.5,2361847,79681,178700,587737,1908164,79681,152930,341854,1525057,0,0,0,18.55,22.4,52.25,20.95,30.2,66.1,2,11,41,104,2,5,16,46,1,2,3,9,1127410,1202295,1612692.5,3093356.5,1127410,1155206,1454571.5,2727297,1127410,1127410,1279816,2087495
"7","Cities","DE",6985,26833532,26833532,6985,0,0,0,12.1,14.1,22.2,15.1,17.9,35.1,2,16,79,213,2,9,38,94,1,2,6,12,641314,1688670,3655269,4853285,635743,1632547,3130596,3951690,600853,1481590,2038253,2995704,0.00783136934787415,0.00783136934787415,0.00783136934787415,13.4086019425248,15.8916280980082,25.66953534108,16.2914160946088,19.7224323916806,39.8411535574222,2.91052743261677,18.5735452567333,90.998718357315,207.196945784103,2.13023917239072,10.8383284764749,45.4885019981715,93.1661940738923,NA,3.06217176329974,8.78946263950642,14.7952964224016,1248718.54696735,2048214.27034283,4161749.65791302,6368704.97211515,1243187.11771712,1993355.10185103,3845733.82654907,5582748.55888092,NA,1836034.17225481,3142750.29437929,4115890.74156775,0,0,0,9.5,10.7,14.5,12.3,14,20.5,1,10,46,116,1,4,18,47,1,1,4,7,217782,553947,1752535,3600785,208256,506323,1495265,2995161,193398,449798,1216841,2139337,0,0,0,15.3,18.9,34.7,18.4,23.7,51.2,4,25,148,332,3,16,79,160,2,5,17,28,2259396,3375946,7889551,11675313,2259396,3336726,7558081,10501438,2811110,3249780,6385395,7942088
"8","Cities","DK",423,1777158,1777158,423,0,0,0,11.9,14,16.4,16,19.4,43.25,2,12,41,71,2,8,21,33,1,2,4,5,1072671,1264507,1887411,2300746,1072671,1239367,1764705,2045805,1058470,1126923,1477158,1560801,0,0,0,13.2689705135953,16.7672453434079,32.1456787747629,16.925477925992,23.418127707272,NA,2.05140342051748,11.0258091852272,37.4872279223344,62.9099669247191,1.65217949107508,6.43849224435869,19.01650162788,28.2815484048126,1.37719887595813,1.82864269806061,3.12784963407868,4.38322310115364,847371.527546228,1003810.5407814,1518800.33803128,1895168.63081561,844518.906399994,972499.74736405,1394538.59246617,1663768.52669431,840042.706691245,891746.070731471,1116387.67038046,1241564.90509229,0,0,0,9.5,10.4,11.7,14.05,15,37.8,2,9,22,42,1,2,9,20,1,1,1,3,219576.5,285741,465003,857973,213564,230410,382072,716974,213564,213564,213564,407301,0,0,0,14.5,21.4,73,18.25,32.35,87.65,3,14,46,72,2,10,24,33,2,2,4,5,1126923,1307446,1970059,2306675,1126923,1277202,1816209,2045805,1126923,1126923,1477158,1560801
"9","Cities","EE",104,523976,523976,104,0,0,0,24.35,31.55,135.7,30.35,135.2,146.5,1,2,5,10,1,1,2,2,1,1,1,1,353458,365883,385861,422852,353458,353458,365883,365883,353458,353458,353458,353458,0,0,0,24.378658373666,35.8797420110845,NA,33.8040826297388,NA,NA,1.0144624944654,2.34820678809716,4.63647953341374,9.25072522405606,1,1.49939310197414,2.03957051468006,2.197211322656,1,1,1,1,282002.036703971,294040.760059621,313103.609526009,347982.08842008,281922.579759378,288217.664625861,296122.793297785,297870.87221743,281922.579759378,281922.579759378,281922.579759378,281922.579759378,0,0,0,19.375,27.075,132.6,25.8,130.8,143.475,1,2,4,9,1,1,2,2,1,1,1,1,85364,90615,106882,145554,85364,85364,106882,106882,85364,85364,85364,85364,0,0,0,29.1,36.9,140.3,46.7,139.3,151.125,1,3,5,10,1,2,2,2,1,1,1,1,353458,368254,385861,422852,353458,365883,365883,365883,353458,353458,353458,353458
"10","Cities","EL",555,4736184,4736184,555,0,0,0,15.9,21.2,NA,21.2,26.6,NA,1,7,20,30,1,3,8,12,1,1,1,1,3232150,3295849,3466095,3622502,3232150,3271356,3373671,3483974,3232150,3232150,3232150,3232150,0,0,0,18.7394960373161,24.7142408107455,NA,24.4440266467688,NA,NA,1.53347948474975,7.2573899155945,18.1024453441843,28.1796247780914,1.23635525984632,3.30057447092427,7.42408656420443,11.3628171962914,1,1,1.06366602311059,1.24264323345546,2326493.39538329,2398278.84462175,2551789.28824978,2702546.57022447,2324310.67938534,2368314.82692205,2471717.61364656,2578438.32705444,2320224.19890823,2320224.19890823,2334279.74763924,2344898.98564034,0,0,0,12.25,16.25,NA,17.6,21.9,NA,1,4,18,29,1,1.5,6,11,1,1,1,1,768011,843288,947526.5,1205550,768011,808622,881214,1090541,768011,768011,768011,822096,0,0,0,20.4,29.9,NA,25.55,37.9,NA,2,10,21,32,1,4,9,13,1,1,1,1,3238746,3333258,3473927,3637613,3232150,3296061,3373671,3484190,3232150,3232150,3232150,3232150
