"","lv1","lv2","n","TOT_P_2021","urban_pop","n_0","TIME_TOWN_5K_1_MED","TIME_TOWN_10K_1_MED","TIME_TOWN_50K_1_MED","TIME_TOWN_5K_2_MED","TIME_TOWN_10K_2_MED","TIME_TOWN_50K_2_MED","TIME_TOWN_5K_3_MED","TIME_TOWN_10K_3_MED","TIME_TOWN_50K_3_MED","N_TOWN_5K_15MN_MED","N_TOWN_5K_30MN_MED","N_TOWN_5K_60MN_MED","N_TOWN_5K_120MN_MED","N_TOWN_10K_15MN_MED","N_TOWN_10K_30MN_MED","N_TOWN_10K_60MN_MED","N_TOWN_10K_120MN_MED","N_TOWN_50K_15MN_MED","N_TOWN_50K_30MN_MED","N_TOWN_50K_60MN_MED","N_TOWN_50K_120MN_MED","POP_TOWN_5K_15MN_MED","POP_TOWN_5K_30MN_MED","POP_TOWN_5K_60MN_MED","POP_TOWN_5K_120MN_MED","POP_TOWN_10K_15MN_MED","POP_TOWN_10K_30MN_MED","POP_TOWN_10K_60MN_MED","POP_TOWN_10K_120MN_MED","POP_TOWN_50K_15MN_MED","POP_TOWN_50K_30MN_MED","POP_TOWN_50K_60MN_MED","POP_TOWN_50K_120MN_MED","TIME_TOWN_5K_1_wmean","TIME_TOWN_10K_1_wmean","TIME_TOWN_50K_1_wmean","TIME_TOWN_5K_2_wmean","TIME_TOWN_10K_2_wmean","TIME_TOWN_50K_2_wmean","TIME_TOWN_5K_3_wmean","TIME_TOWN_10K_3_wmean","TIME_TOWN_50K_3_wmean","N_TOWN_5K_15MN_wmean","N_TOWN_5K_30MN_wmean","N_TOWN_5K_60MN_wmean","N_TOWN_5K_120MN_wmean","N_TOWN_10K_15MN_wmean","N_TOWN_10K_30MN_wmean","N_TOWN_10K_60MN_wmean","N_TOWN_10K_120MN_wmean","N_TOWN_50K_15MN_wmean","N_TOWN_50K_30MN_wmean","N_TOWN_50K_60MN_wmean","N_TOWN_50K_120MN_wmean","POP_TOWN_5K_15MN_wmean","POP_TOWN_5K_30MN_wmean","POP_TOWN_5K_60MN_wmean","POP_TOWN_5K_120MN_wmean","POP_TOWN_10K_15MN_wmean","POP_TOWN_10K_30MN_wmean","POP_TOWN_10K_60MN_wmean","POP_TOWN_10K_120MN_wmean","POP_TOWN_50K_15MN_wmean","POP_TOWN_50K_30MN_wmean","POP_TOWN_50K_60MN_wmean","POP_TOWN_50K_120MN_wmean","TIME_TOWN_5K_1_Q1","TIME_TOWN_10K_1_Q1","TIME_TOWN_50K_1_Q1","TIME_TOWN_5K_2_Q1","TIME_TOWN_10K_2_Q1","TIME_TOWN_50K_2_Q1","TIME_TOWN_5K_3_Q1","TIME_TOWN_10K_3_Q1","TIME_TOWN_50K_3_Q1","N_TOWN_5K_15MN_Q1","N_TOWN_5K_30MN_Q1","N_TOWN_5K_60MN_Q1","N_TOWN_5K_120MN_Q1","N_TOWN_10K_15MN_Q1","N_TOWN_10K_30MN_Q1","N_TOWN_10K_60MN_Q1","N_TOWN_10K_120MN_Q1","N_TOWN_50K_15MN_Q1","N_TOWN_50K_30MN_Q1","N_TOWN_50K_60MN_Q1","N_TOWN_50K_120MN_Q1","POP_TOWN_5K_15MN_Q1","POP_TOWN_5K_30MN_Q1","POP_TOWN_5K_60MN_Q1","POP_TOWN_5K_120MN_Q1","POP_TOWN_10K_15MN_Q1","POP_TOWN_10K_30MN_Q1","POP_TOWN_10K_60MN_Q1","POP_TOWN_10K_120MN_Q1","POP_TOWN_50K_15MN_Q1","POP_TOWN_50K_30MN_Q1","POP_TOWN_50K_60MN_Q1","POP_TOWN_50K_120MN_Q1","TIME_TOWN_5K_1_Q3","TIME_TOWN_10K_1_Q3","TIME_TOWN_50K_1_Q3","TIME_TOWN_5K_2_Q3","TIME_TOWN_10K_2_Q3","TIME_TOWN_50K_2_Q3","TIME_TOWN_5K_3_Q3","TIME_TOWN_10K_3_Q3","TIME_TOWN_50K_3_Q3","N_TOWN_5K_15MN_Q3","N_TOWN_5K_30MN_Q3","N_TOWN_5K_60MN_Q3","N_TOWN_5K_120MN_Q3","N_TOWN_10K_15MN_Q3","N_TOWN_10K_30MN_Q3","N_TOWN_10K_60MN_Q3","N_TOWN_10K_120MN_Q3","N_TOWN_50K_15MN_Q3","N_TOWN_50K_30MN_Q3","N_TOWN_50K_60MN_Q3","N_TOWN_50K_120MN_Q3","POP_TOWN_5K_15MN_Q3","POP_TOWN_5K_30MN_Q3","POP_TOWN_5K_60MN_Q3","POP_TOWN_5K_120MN_Q3","POP_TOWN_10K_15MN_Q3","POP_TOWN_10K_30MN_Q3","POP_TOWN_10K_60MN_Q3","POP_TOWN_10K_120MN_Q3","POP_TOWN_50K_15MN_Q3","POP_TOWN_50K_30MN_Q3","POP_TOWN_50K_60MN_Q3","POP_TOWN_50K_120MN_Q3"
"464","Towns","EL5",185,706617,706617,185,2.4,3.7,46,23.3,39.3,79.2,33.7,45.8,NA,1,2,7,27,1,1,4,13,NA,NA,1,2,19863,57261,152494,1172730,19270,49011,138801,1063422,NA,NA,768011,768011,1.7604327379613,6.16123317157668,NA,25.8597228767493,36.299482463626,NA,37.0752101916597,47.0510287751356,NA,1.38423785445298,2.97602520177126,8.86664204229448,23.0374092330074,0.96220017350276,1.64680583682532,4.73685603374954,10.7095937403148,NA,NA,NA,NA,97282.8053485835,171149.870908852,452652.781120466,754982.630556582,94487.5615361646,162506.4402116,425149.723725866,674596.684028264,NA,NA,NA,NA,1.6,2.4,25.05,14,24.9,66.9,24.3,28.7,NA,1,2,4,12,0,1,3,6,NA,NA,1,1,8356,27401,96922,265954,0,19817,89790,237647,NA,NA,54085,105955,3.2,17.7,68.15,28,47.5,110.8,45.8,58.9,NA,2,5,14,33,1,3,6,15,NA,NA,1,2,45052,89938,923831,1213442,43363,78809,877873,1103751,NA,NA,768011,822096
"465","Towns","EL6",214,653558,653558,214,2.8,5.75,58.35,21.95,49.5,NA,37.8,65,NA,1,2,5,14,1,1,2,5,NA,NA,NA,1,19732,44153,103039,385293,17986,33453,89930.5,313811,NA,NA,NA,247026,1.98140210968269,12.8742847612607,NA,31.8613731298523,53.64937113462,NA,47.0070927140361,72.2719509209588,NA,1.31737963577831,2.14799145599931,5.04993435930705,15.6920931271593,0.768709127575517,1.03110511997405,2.40092539606278,6.68530413521065,NA,NA,NA,NA,34340.38517622,53286.719995777,647456.872288305,1185634.89441182,30368.6443223096,45448.5776365678,629225.081743319,1122457.84748867,NA,NA,NA,NA,1.825,2.9,47,14.7,37.95,NA,23.925,53.6,NA,1,1,3,9,0,1,1,5,NA,NA,NA,1,7198,16846,43619,158531.75,0,15575,41621,135397.25,NA,NA,NA,159497,3.875,24.35,98.45,37.25,64.25,NA,53.9,82.975,NA,2,3,7,20,1,1,3,9,NA,NA,NA,2,47532,61460,253118.25,3464891.5,47467,49142,221819,3409828,NA,NA,NA,3232150
"466","Towns","ES1",296,739252,739252,296,3.2,14.4,22.3,13.8,23.2,35.7,17.55,28.9,55.8,2,7,19,34,1,3,7,13,NA,2,3,4,19256,243087,596646,1184759,11966,197787,500595,946723,NA,254823,400601,769319.5,2.10523339808347,13.6824602435976,24.1527036788538,15.1453977804592,26.2853205672761,39.1530579558797,19.534861860367,33.6202216564852,56.4658288377982,2.31901841320686,6.77915514601246,18.0918347194191,38.4199406968125,0.959683572043092,2.87466249668584,6.78908274850795,13.8575979503606,NA,NA,NA,4.64848793104381,72934.4968589872,276333.967220921,595681.865240811,1138340.00300304,63219.5692186156,248278.023780795,514781.500523502,962585.199769497,NA,NA,NA,797276.900377679,0,5.2,15.3,9.775,18.225,25.675,13.475,22.175,44.275,1,3,13,27,0,1,5,9,NA,1,2,4,9495.75,81698.25,378923,892766,0,52024,297319,745553,NA,145778,254823,610565.25,4.5,21.8,32.15,18.825,33.8,48,24.925,44.125,65.55,3,9,24,50,1,4,9,18,NA,2,3,6,57500,328806.75,719452.75,1330504.25,52024,307782,650663,1140441.75,NA,327978,549905,1015999
"467","Towns","ES2",206,925996,925996,206,3,5.2,28.95,12.7,18.9,50.5,17.6,25.1,58.7,2,7,18.5,54,1,4,10,30,NA,1,2,6,24870,274570,1016203,2228591.5,22987,250619,958850,2038982,NA,626561,725507,1572871,1.96721692102342,7.14519760344537,34.0705794625463,16.2128350446438,25.4511676076355,NA,23.5271659920777,31.9673349560905,NA,2.0454170428382,6.60829960388598,20.9436088276839,44.2078291914868,1.36634931468386,3.92865843912933,12.0833416127068,23.7778597315755,NA,NA,NA,NA,156015.169251271,348445.662913231,972389.48876885,1815096.48233794,151208.06567523,329135.893227401,908969.622480011,1672722.68471462,NA,NA,NA,NA,0,3.025,15.9,8.625,12.9,39.9,14.425,18.2,49.325,1,3.25,12,26,1,2,5,12,NA,1,1,2,15800,52532.5,595811.75,985282.25,11012.75,37894,546636.5,890008.5,NA,323004,626561,695365,4.075,13.975,39.55,19.175,29.875,62.3,24.25,38.375,74.6,3,9.75,31,61,2,6,20,34,NA,1,4,7,94798,696915,1526136,2553079,86220,665909,1424798.75,2369092,NA,791183,1262391,1901287
"468","Towns","ES3",207,814701,814701,207,3.3,5.4,13.1,10.2,12.4,20.2,12.6,15.2,24.6,4,16,63,98,2,10,36,45,1,5,12,14,129002,4613195,5971254,6436488,118437,4572238,5783576,6084988,318360,4462676,5238649,5373886,2.38941869471131,5.41249574997453,13.2828008066763,10.0700553945558,12.5760930697274,19.3876892258632,12.2992386163758,15.1777583432449,22.9779805106413,4.32096069600995,17.6407000850619,65.33074465356,97.8584805959487,3.01011904981091,11.1255761316115,36.0842419488868,45.8631952090399,NA,NA,11.6826357154343,14.0912420630391,1808813.55694052,3814499.32244468,5963143.47746842,6455411.01649071,1800208.05942548,3771774.29549737,5769092.4357611,6109078.05321707,NA,NA,5215328.47835586,5389960.28484806,0.6,3.4,9.2,8,9.3,15.8,10,12.2,18.55,2,11.5,49,93,1,6,30,45,1,3,11,13,35662,338486,5626584.5,6393003,27540.5,305391,5510257,6050839,71271,389631,5069221,5318395,4.45,12.2,19.8,12.5,17,26.25,15.25,20.15,31.55,5,20,71,100,4,13,38,47,2,5,12,15,4091603,4759947,6083916,6508148,4072498,4707269,5859686,6166208,4178780,4560831,5266348,5455106
"469","Towns","ES4",416,1352248,1352248,416,2.9,13.1,39,17.95,28.85,63.9,24.8,37.6,68.75,1,4,14,33,1,2,6,13.5,NA,NA,1,3,16280,60448,263604.5,625621.5,10838,49607,208759,467060,NA,NA,171100,268979,1.94681426779703,11.5130263087836,NA,19.022576406103,31.0022890032006,NA,27.8089677337293,41.0710361560897,NA,1.69939241914205,4.69358801048328,17.8973383580527,46.2004403038496,0.925471511142926,2.22547787092308,8.6321118611379,20.8406985996651,NA,NA,NA,NA,46262.7177995456,414632.172466885,1087570.41373254,2053818.07362851,41005.1455650147,397836.192616295,1024255.78897214,1882094.58415912,NA,NA,NA,NA,0,3.575,25.3,11.05,21,45.85,18.8,29.3,50.075,1,2,7,21.75,0,1,3,8.75,NA,NA,1,2,6794,27402.25,173490,482723,0,13371,132687,359796,NA,NA,69245,169320,3.7,25.825,57.2,24.6,41.325,82.45,34.325,49.9,82.175,2,6,21,76,1,3,10,35.25,NA,NA,3,9,37579,116212.75,469868.25,5468995.5,34746,90522.75,416228.75,5179099.75,NA,NA,424779,4583968
"470","Towns","ES5",832,3329205,3329205,832,3.1,5.5,19.8,10.35,14.2,33.75,13.5,19.3,45.15,3,11,44,95,2,6,24,51,NA,2,4,9,55207.5,330891,1928290.5,3533671.5,45152,296421,1767048,3219987,NA,382458,1423645,2310342,2.04885226352838,5.59156831736105,NA,11.0479451700932,15.701747053726,NA,14.5648211509955,26.9728247434448,NA,3.69833128329436,12.5967905250653,42.0121362307218,84.3114878777366,2.35591139626427,7.5561246603919,23.3121378827678,44.69127073881,NA,NA,NA,NA,273434.962517778,948186.780203082,2208211.98653342,3583632.28100282,264471.00919679,914822.578701822,2083153.17382979,3318927.25443672,NA,NA,NA,NA,0,3.1,12.2,7.9,9.775,23.4,10.3,13.2,31.7,2,7,26,72,1,3,11,37,NA,1,2.25,5,23680,129467,615523,2557494,16209,89120,491706,2292983,NA,127713,382458,1371830,4.2,11.7,30.4,13.7,22,44.85,17.6,27.9,57.725,5,16,54,106,3,10,31,57,NA,3,8,15,130782,979395,3913558.25,5400063,117404,961321,3797825.5,5101661,NA,1373390,3491211,4151953
"471","Towns","ES6",811,3096956,3096956,811,2.7,4.6,25.6,12.6,18.2,46.3,18.2,25,58.1,2,6,23,71,1,3,12,35,NA,1,3,6,32076,174166,758236,2165897,30357,165466,706679,1920405,NA,258943,596747,1284617,1.79472440034666,6.79615315813334,27.816324933257,13.2528791820097,19.2463402450664,NA,18.837190938457,25.6318549246421,NA,2.57387996471374,7.69516486511271,28.4872032408597,69.7027232547056,1.66414634240848,4.60844939353352,15.7139074626827,35.0336582114825,NA,NA,NA,6.70212201916979,125506.716551349,339851.781149942,977944.614947064,2060623.45012167,118914.923137106,317902.793627678,888756.330515513,1823062.71139209,NA,NA,NA,1225750.29293409,0,2.7,14.3,8.6,11.6,30.9,13.3,17.9,41.75,1,4,17,53,0,1,7,26,NA,1,1,4,13208,56835,420547,1580665,0,36159,366143,1320222,NA,148576,294688,852321,3.65,16.15,40.1,17.95,30.25,64.7,23.95,36.05,76.9,3,10,36,85,2,6,19,43,NA,2,4,8,106849,476232.5,1345954,2460769,103939,402657,1227633,2192345,NA,531901.75,1007674,1487500.5
"472","Towns","FI1",840,1091275,1091275,840,4.3,8.4,39.85,23.3,39.5,NA,35.35,56.5,NA,1,2,5,14,1,1,2,5,NA,NA,NA,1,13668,25578,72935,233967,12969,18571,56187,169653,NA,NA,NA,150132,3.67187849075623,NA,NA,NA,NA,NA,NA,NA,NA,1.73454537124006,3.38100387161806,8.19172527548052,17.3185081670523,1.07609172756638,1.72482829717532,4.11242903942636,7.9822794437699,NA,NA,NA,NA,82387.7687741403,176837.865068841,347360.641778653,515231.63798401,77744.1754644796,165135.790984857,319451.617726054,452128.647581041,NA,NA,NA,NA,3,4.3,18.625,14.3,22.3,NA,19.6,33.4,NA,1,1,2,7,0,1,1,3,NA,NA,NA,1,7883,13671,26277,111473,0,10245,25329,84874,NA,NA,NA,93945,5.8,27.575,63.6,36.1,68.025,NA,58.1,81,NA,2,4,12,25,1,2,5,12,NA,NA,NA,2,23372,74231,236943,1110685,23023,56187,186724,1043802,NA,NA,NA,878305
"473","Towns","FI2",11,11032,11032,11,4.3,4.3,NA,198.4,198.4,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,11146,11146,11146,11146,11146,11146,11146,11146,NA,NA,NA,NA,3.78262327773749,3.78262327773749,NA,198.857641406817,198.857641406817,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,11146,11146,11146,11146,11146,11146,11146,11146,NA,NA,NA,NA,3.1,3.1,NA,196.9,196.9,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,11146,11146,11146,11146,11146,11146,11146,11146,NA,NA,NA,NA,5.25,5.25,NA,201,201,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,11146,11146,11146,11146,11146,11146,11146,11146,NA,NA,NA,NA
