id,latitude,longitude,year,camp_ouvert
1,51.20208,3.193121,1980,0
1,51.20208,3.193121,1981,0
1,51.20208,3.193121,1982,0
1,51.20208,3.193121,1983,0
1,51.20208,3.193121,1984,0
1,51.20208,3.193121,1985,0
1,51.20208,3.193121,1986,0
1,51.20208,3.193121,1987,0
1,51.20208,3.193121,1988,0
1,51.20208,3.193121,1989,0
1,51.20208,3.193121,1990,0
1,51.20208,3.193121,1991,0
1,51.20208,3.193121,1992,0
1,51.20208,3.193121,1993,0
1,51.20208,3.193121,1994,0
1,51.20208,3.193121,1995,1
1,51.20208,3.193121,1996,1
1,51.20208,3.193121,1997,1
1,51.20208,3.193121,1998,1
1,51.20208,3.193121,1999,1
1,51.20208,3.193121,2000,1
1,51.20208,3.193121,2001,1
1,51.20208,3.193121,2002,1
1,51.20208,3.193121,2003,1
1,51.20208,3.193121,2004,1
1,51.20208,3.193121,2005,1
1,51.20208,3.193121,2006,1
1,51.20208,3.193121,2007,1
1,51.20208,3.193121,2008,1
1,51.20208,3.193121,2009,1
1,51.20208,3.193121,2010,1
1,51.20208,3.193121,2011,1
1,51.20208,3.193121,2012,1
1,51.20208,3.193121,2013,1
1,51.20208,3.193121,2014,1
1,51.20208,3.193121,2015,1
1,51.20208,3.193121,2016,1
1,51.20208,3.193121,2017,1
1,51.20208,3.193121,2018,1
1,51.20208,3.193121,2019,
2,51.357221,4.828897,1980,0
2,51.357221,4.828897,1981,0
2,51.357221,4.828897,1982,0
2,51.357221,4.828897,1983,0
2,51.357221,4.828897,1984,0
2,51.357221,4.828897,1985,0
2,51.357221,4.828897,1986,0
2,51.357221,4.828897,1987,0
2,51.357221,4.828897,1988,0
2,51.357221,4.828897,1989,0
2,51.357221,4.828897,1990,0
2,51.357221,4.828897,1991,0
2,51.357221,4.828897,1992,0
2,51.357221,4.828897,1993,0
2,51.357221,4.828897,1994,1
2,51.357221,4.828897,1995,1
2,51.357221,4.828897,1996,1
2,51.357221,4.828897,1997,1
2,51.357221,4.828897,1998,1
2,51.357221,4.828897,1999,1
2,51.357221,4.828897,2000,1
2,51.357221,4.828897,2001,1
2,51.357221,4.828897,2002,1
2,51.357221,4.828897,2003,1
2,51.357221,4.828897,2004,1
2,51.357221,4.828897,2005,1
2,51.357221,4.828897,2006,1
2,51.357221,4.828897,2007,1
2,51.357221,4.828897,2008,1
2,51.357221,4.828897,2009,1
2,51.357221,4.828897,2010,1
2,51.357221,4.828897,2011,1
2,51.357221,4.828897,2012,1
2,51.357221,4.828897,2013,1
2,51.357221,4.828897,2014,1
2,51.357221,4.828897,2015,1
2,51.357221,4.828897,2016,1
2,51.357221,4.828897,2017,1
2,51.357221,4.828897,2018,1
3,50.664763,5.562422,1980,0
3,50.664763,5.562422,1981,0
3,50.664763,5.562422,1982,0
3,50.664763,5.562422,1983,0
3,50.664763,5.562422,1984,0
3,50.664763,5.562422,1985,0
3,50.664763,5.562422,1986,0
3,50.664763,5.562422,1987,0
3,50.664763,5.562422,1988,0
3,50.664763,5.562422,1989,0
3,50.664763,5.562422,1990,0
3,50.664763,5.562422,1991,0
3,50.664763,5.562422,1992,0
3,50.664763,5.562422,1993,0
3,50.664763,5.562422,1994,0
3,50.664763,5.562422,1995,0
3,50.664763,5.562422,1996,0
3,50.664763,5.562422,1997,0
3,50.664763,5.562422,1998,0
3,50.664763,5.562422,1999,1
3,50.664763,5.562422,2000,1
3,50.664763,5.562422,2001,1
3,50.664763,5.562422,2002,1
3,50.664763,5.562422,2003,1
3,50.664763,5.562422,2004,1
3,50.664763,5.562422,2005,1
3,50.664763,5.562422,2006,1
3,50.664763,5.562422,2007,1
3,50.664763,5.562422,2008,1
3,50.664763,5.562422,2009,1
3,50.664763,5.562422,2010,1
3,50.664763,5.562422,2011,1
3,50.664763,5.562422,2012,1
3,50.664763,5.562422,2013,1
3,50.664763,5.562422,2014,1
3,50.664763,5.562422,2015,1
3,50.664763,5.562422,2016,1
3,50.664763,5.562422,2017,1
3,50.664763,5.562422,2018,1
