"","i","AD","AE","AF","AG","AL","AM","AO","AR","AT","AU","AZ","BA","BB","BD","BE","BF","BG","BH","BI","BJ","BN","BO","BR","BS","BT","BW","BY","BZ","CA","CD","CF","CG","CH","CI","CL","CM","CN","CO","CR","CU","CV","CY","CZ","DE","DJ","DK","DM","DO","DZ","EC","EE","EG","ER","ES","ET","FI","FJ","FM","FR","GA","GB","GD","GE","GH","GM","GN","GQ","GR","GT","GW","GY","HK","HN","HR","HT","HU","ID","IE","IL","IN","IQ","IR","IS","IT","JM","JO","JP","KE","KG","KH","KI","KM","KN","KP","KR","KW","KZ","LA","LB","LC","LI","LK","LR","LS","LT","LU","LV","LY","MA","MC","MD","ME","MG","MH","MK","ML","MM","MN","MO","MR","MT","MU","MV","MW","MX","MY","MZ","NA","NE","NG","NI","NL","NO","NP","NR","NZ","OM","PA","PE","PG","PH","PK","PL","PS","PT","PW","PY","QA","RO","RS","RU","RW","SA","SB","SC","SD","SE","SG","SI","SK","SL","SM","SN","SO","SR","SS","ST","SV","SY","SZ","TD","TG","TH","TJ","TL","TM","TN","TO","TR","TT","TV","TW","TZ","UA","UG","US","UY","UZ","VA","VC","VE","VN","VU","WS","XK","YE","ZA","ZM","ZW"
"1","AD",NA,"free visa on arrival/30 days","visa required","visa-free/180 days","visa-free/90 days","Covid-19 ban","pre-visa on arrival","Covid-19 ban","visa-free/90 days","Covid-19 ban","Covid-19 ban","visa-free/90 days","visa required","Covid-19 ban","visa-free/90 days","Covid-19 ban","visa-free/90 days","visa on arrival / eVisa/30 days","visa required","eVisa","Covid-19 ban","visa-free/90 days","visa-free/90 days","Covid-19 ban","visa required","Covid-19 ban","visa-free/30 days","visa-free","Covid-19 ban","visa required","visa required","visa required","visa-free/90 days","pre-enrollment","Covid-19 ban","visa required","visa required","visa-free/90 days","Covid-19 ban","tourist card/30 days","visa-free (EASE)/30 days","visa-free/90 days","visa-free/90 days","visa-free/90 days","eVisa","visa-free/90 days","visa-free/21 days","visa-free","visa required","visa-free/90 days","visa-free/90 days","visa on arrival / eVisa/30 days","visa required","visa-free/90 days","eVisa","visa-free/90 days","Covid-19 ban","visa-free/30 days","visa-free/90 days","eVisa","visa-free/180 days","visa required","Covid-19 ban","visa required","visa-free/90 days","eVisa/90 days","visa required","visa-free/90 days","visa-free/90 days","visa on arrival / eVisa/90 days","visa required","Covid-19 ban","visa-free/90 days","visa-free/90 days","visa-free/90 days","visa-free/90 days","Covid-19 ban","visa-free","Covid-19 ban","eVisa","visa required","eVisa/30 days","visa-free/90 days","visa-free/90 days","visa on arrival","visa on arrival","Covid-19 ban","visa on arrival / eVisa/90 days","Covid-19 ban","visa on arrival / eVisa","visa required","visa on arrival/45 days","eVisa","visa required","visa-free/30 days","visa on arrival / eVisa","eVisa","Covid-19 ban","visa on arrival/30 days","visa-free/42 days","visa-free/90 days","Covid-19 ban","visa required","eVisa/14 days","visa-free/90 days","visa-free/90 days","visa-free/90 days","visa required","visa-free/90 days","visa-free/90 days","visa-free/90 days","visa-free/90 days","visa on arrival/90 days","Covid-19 ban","visa-free/90 days","visa required","visa required","Covid-19 ban","Covid-19 ban","visa on arrival","visa-free/90 days","Covid-19 ban","visa on arrival/30 days","visa on arrival / eVisa/30 days","visa-free/180 days","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","visa required","pre-visa on arrival","visa-free/90 days","visa-free/90 days","visa-free/90 days","visa on arrival/90 days","visa required","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa on arrival / eVisa","Covid-19 ban","eVisa","visa-free/90 days","visa-free","visa-free/90 days","visa on arrival/30 days","Covid-19 ban","Covid-19 ban","visa-free/90 days","visa-free/90 days","Covid-19 ban","visa on arrival / eVisa/30 days","visa on arrival / eVisa","Covid-19 ban","tourist registration/90 days","visa required","visa-free/90 days","visa-free/30 days","visa-free/90 days","visa-free/90 days","visa required","visa-free/90 days","visa on arrival/90 days","visa on arrival/30 days","eVisa","eVisa","visa-free/15 days","visa-free/90 days","visa required","Covid-19 ban","visa required","visa on arrival/7 days","visa-free/30 days","visa on arrival / eVisa/45 days","Covid-19 ban","Covid-19 ban","visa-free/90 days","visa required","visa-free/90 days","visa required","visa on arrival/30 days","Covid-19 ban","visa on arrival / eVisa","visa-free/90 days","visa on arrival / eVisa","Covid-19 ban","Covid-19 ban","visa-free/30 days","visa-free/90 days","visa-free/30 days","visa-free/90 days","Covid-19 ban","visa-free/30 days","visa on arrival/60 days","visa-free/90 days","visa required","visa-free/90 days","visa on arrival / eVisa/90 days","visa on arrival/90 days"
"2","AE","Covid-19 ban",NA,"visa required","visa-free/90 days","visa-free/90 days","Covid-19 ban","pre-visa on arrival","Covid-19 ban","Covid-19 ban","eVisa (fast track)","Covid-19 ban","visa-free/90 days","visa-free/90 days","Covid-19 ban","Covid-19 ban","visa-free","Covid-19 ban","visa-free","eVisa by email","eVisa/30 days","Covid-19 ban","visa on arrival / eVisa/90 days","visa-free/90 days","Covid-19 ban","visa required","Covid-19 ban","visa-free/30 days","visa required","Covid-19 ban","visa on arrival/30 days","visa on arrival/90 days","visa on arrival/30 days","Covid-19 ban","visa on arrival","Covid-19 ban","visa required","visa-free/30 days","visa-free/90 days","Covid-19 ban","visa-free/90 days","visa on arrival (EASE)","Covid-19 ban","Covid-19 ban","Covid-19 ban","eVisa","Covid-19 ban","visa-free/180 days","visa-free","visa required","visa-free/90 days","Covid-19 ban","visa-free/90 days","visa required","Covid-19 ban","visa on arrival / eVisa","Covid-19 ban","Covid-19 ban","visa-free/30 days","Covid-19 ban","visa on arrival / eVisa/90 days","EVW","visa-free/90 days","Covid-19 ban","visa required","visa-free/90 days","visa on arrival/90 days","visa on arrival/90 days","Covid-19 ban","visa-free/90 days","visa on arrival / eVisa/90 days","visa on arrival/30 days","Covid-19 ban","visa required","Covid-19 ban","visa-free/90 days","Covid-19 ban","Covid-19 ban","visa-free","Covid-19 ban","visa on arrival/60 days","visa required","eVisa/30 days","Covid-19 ban","Covid-19 ban","visa required","visa-free/90 days","Covid-19 ban","visa on arrival / eVisa/90 days","visa-free/60 days","visa on arrival / eVisa","visa required","visa on arrival/45 days","visa-free/90 days","visa required","Covid-19 ban","visa-free","Covid-19 ban","Covid-19 ban","visa-free/180 days","visa-free/60 days","Covid-19 ban","Covid-19 ban","visa on arrival (by email)","eVisa/14 days","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","visa-free/90 days","Covid-19 ban","visa-free/90 days","visa-free/90 days","visa on arrival / eVisa/90 days","Covid-19 ban","visa-free/90 days","visa-free/90 days","visa required","Covid-19 ban","Covid-19 ban","visa on arrival","Covid-19 ban","Covid-19 ban","visa on arrival/30 days","visa on arrival / eVisa/30 days","visa-free/180 days","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","visa on arrival/30 days","pre-visa on arrival","visa-free/90 days","Covid-19 ban","Covid-19 ban","visa on arrival/90 days","visa-free","Covid-19 ban","visa-free/90 days","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa on arrival / eVisa/90 days","Covid-19 ban","visa-free","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa-free/90 days","visa-free/90 days","visa on arrival / eVisa/30 days","Covid-19 ban","Covid-19 ban","tourist registration/90 days","visa-free","Covid-19 ban","visa-free/30 days","Covid-19 ban","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","visa on arrival/30 days","visa on arrival/30 days","eTourist card/90 days","eVisa","visa-free/15 days","visa-free/90 days","visa-free","Covid-19 ban","visa-free","visa on arrival/7 days","visa-free/30 days","visa on arrival / eVisa/45 days","Covid-19 ban","Covid-19 ban","visa-free/90 days","visa-free/60 days","eVisa/90 days","visa required","visa on arrival/30 days","eVisa","visa on arrival / eVisa","visa-free/90 days","visa on arrival / eVisa","Covid-19 ban","Covid-19 ban","visa-free/30 days","Covid-19 ban","visa-free/90 days","visa required","Covid-19 ban","visa-free/90 days","visa on arrival/60 days","visa-free/90 days","visa on arrival/90 days","visa-free/90 days","visa on arrival / eVisa/90 days","visa on arrival/90 days"
"3","AF","Covid-19 ban","eVisa",NA,"eVisa","visa required","Covid-19 ban","pre-visa on arrival","Covid-19 ban","Covid-19 ban","eVisa","Covid-19 ban","visa required","visa required","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","eVisa","visa required","eVisa","Covid-19 ban","visa on arrival / eVisa/90 days","visa required","Covid-19 ban","visa required","Covid-19 ban","visa required","visa required","Covid-19 ban","visa required","visa required","visa required","Covid-19 ban","pre-enrollment","Covid-19 ban","visa required","visa required","eVisa","Covid-19 ban","visa required","visa on arrival (EASE)","Covid-19 ban","Covid-19 ban","Covid-19 ban","eVisa","Covid-19 ban","visa-free/21 days","visa required","visa required","visa required","Covid-19 ban","visa required","visa required","Covid-19 ban","eVisa","Covid-19 ban","Covid-19 ban","visa-free/30 days","Covid-19 ban","eVisa","visa required","visa required","Covid-19 ban","visa required","visa required","eVisa/90 days","visa required","Covid-19 ban","visa required","visa on arrival / eVisa/90 days","visa required","Covid-19 ban","visa required","Covid-19 ban","visa-free/90 days","Covid-19 ban","Covid-19 ban","visa required","Covid-19 ban","visa required","visa required","visa required","Covid-19 ban","Covid-19 ban","visa required","visa required","Covid-19 ban","visa required","eVisa","visa on arrival / eVisa","visa required","visa on arrival/45 days","eVisa","visa required","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","visa required","Covid-19 ban","Covid-19 ban","visa required","eVisa/14 days","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","visa required","Covid-19 ban","eVisa","Covid-19 ban","visa on arrival / eVisa/90 days","Covid-19 ban","visa required","visa required","visa required","Covid-19 ban","Covid-19 ban","visa on arrival","Covid-19 ban","Covid-19 ban","visa on arrival/30 days","eVisa/90 days","visa required","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","visa required","pre-visa on arrival","visa required","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","Covid-19 ban","visa required","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","eVisa","Covid-19 ban","visa required","Covid-19 ban","visa on arrival / eVisa/30 days","Covid-19 ban","Covid-19 ban","tourist registration/90 days","visa required","Covid-19 ban","eVisa","Covid-19 ban","Covid-19 ban","visa required","Covid-19 ban","visa on arrival/30 days","visa on arrival/30 days","eVisa","eVisa","eVisa","visa required","visa required","Covid-19 ban","visa required","visa on arrival/7 days","Covid-19 ban","eVisa","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","visa required","visa required","visa on arrival/30 days","Covid-19 ban","eVisa","visa required","visa on arrival / eVisa","Covid-19 ban","Covid-19 ban","eVisa","Covid-19 ban","visa-free/30 days","visa required","Covid-19 ban","visa required","visa on arrival/60 days","Covid-19 ban","visa required","visa required","eVisa","eVisa"
"4","AG","Covid-19 ban","eVisa","visa required",NA,"visa-free/90 days","visa on arrival / eVisa","pre-visa on arrival","Covid-19 ban","Covid-19 ban","eVisa","Covid-19 ban","visa-free/90 days","visa-free","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","eVisa","visa required","eVisa","Covid-19 ban","visa on arrival / eVisa/90 days","visa-free/90 days","Covid-19 ban","visa required","Covid-19 ban","visa-free/30 days","visa-free","Covid-19 ban","visa required","visa required","visa required","Covid-19 ban","pre-enrollment","Covid-19 ban","visa required","visa required","visa-free/90 days","Covid-19 ban","visa-free/30 days","visa on arrival (EASE)","Covid-19 ban","Covid-19 ban","Covid-19 ban","eVisa","Covid-19 ban","visa-free","visa-free","visa required","visa-free/90 days","Covid-19 ban","visa on arrival / eVisa/30 days","visa required","Covid-19 ban","eVisa","Covid-19 ban","Covid-19 ban","visa-free/30 days","Covid-19 ban","eVisa","visa-free/180 days","visa-free","Covid-19 ban","visa required","visa-free/90 days","eVisa/90 days","visa required","Covid-19 ban","visa-free/90 days","visa on arrival / eVisa/90 days","visa-free/180 days","Covid-19 ban","visa-free/90 days","Covid-19 ban","visa-free/90 days","Covid-19 ban","Covid-19 ban","visa-free","Covid-19 ban","eVisa","visa required","eVisa/30 days","Covid-19 ban","Covid-19 ban","eTA","visa on arrival","Covid-19 ban","visa on arrival / eVisa/90 days","eVisa","visa on arrival / eVisa","visa-free/120 days","visa on arrival/45 days","visa-free","visa required","Covid-19 ban","Covid-19 ban","eVisa","Covid-19 ban","visa on arrival/30 days","visa-free","Covid-19 ban","Covid-19 ban","visa required","visa-free/90 days","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","visa required","Covid-19 ban","visa-free/90 days","visa-free/90 days","visa on arrival / eVisa/90 days","Covid-19 ban","visa-free/90 days","visa required","visa required","Covid-19 ban","Covid-19 ban","visa on arrival","Covid-19 ban","Covid-19 ban","visa on arrival/30 days","visa-free/90 days","visa required","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","visa required","pre-visa on arrival","visa-free/90 days","Covid-19 ban","Covid-19 ban","visa on arrival/90 days","visa required","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","eVisa","Covid-19 ban","eVisa","Covid-19 ban","visa-free","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa-free/90 days","Covid-19 ban","visa on arrival / eVisa/30 days","Covid-19 ban","Covid-19 ban","tourist registration/90 days","visa required","Covid-19 ban","visa-free/30 days","Covid-19 ban","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","visa on arrival/30 days","visa on arrival/30 days","visa-free/90 days","eVisa","eVisa","visa-free/90 days","visa required","Covid-19 ban","visa required","visa on arrival/7 days","Covid-19 ban","eVisa","Covid-19 ban","Covid-19 ban","visa-free/90 days","visa required","eVisa/90 days","visa-free","visa on arrival/30 days","Covid-19 ban","visa-free/90 days","visa-free/90 days","visa-free/90 days","Covid-19 ban","Covid-19 ban","visa-free/30 days","Covid-19 ban","visa-free","visa-free/90 days","Covid-19 ban","visa-free/30 days","visa on arrival/60 days","visa-free/90 days","visa required","visa-free/30 days","visa-free/90 days","visa-free/90 days"
"5","AL","visa-free/90 days","eVisa","visa required","visa-free/180 days",NA,"Covid-19 ban","pre-visa on arrival","Covid-19 ban","visa-free/90 days","eVisa","Covid-19 ban","visa-free/90 days","visa-free/28 days","Covid-19 ban","visa-free/90 days","Covid-19 ban","visa-free/90 days","eVisa","visa required","eVisa","Covid-19 ban","visa on arrival / eVisa/90 days","visa-free/90 days","Covid-19 ban","visa required","Covid-19 ban","visa-free/30 days","visa required","Covid-19 ban","visa required","visa required","visa required","visa-free/90 days","pre-enrollment","Covid-19 ban","visa required","visa required","visa-free/90 days","Covid-19 ban","tourist card/30 days","visa on arrival (EASE)","visa-free/90 days","visa-free/90 days","visa-free/90 days","eVisa","visa-free/90 days","visa-free/21 days","visa required","visa required","visa-free/90 days","visa-free/90 days","visa on arrival / eVisa/30 days","visa required","visa-free/90 days","eVisa","visa-free/90 days","Covid-19 ban","visa-free/30 days","visa-free/90 days","eVisa","visa required","visa required","Covid-19 ban","visa required","visa-free/90 days","eVisa/90 days","visa required","visa-free/90 days","visa required","visa on arrival / eVisa/90 days","visa required","Covid-19 ban","visa required","visa-free/90 days","visa-free/90 days","visa-free/90 days","Covid-19 ban","visa required","Covid-19 ban","eVisa","visa required","eVisa/30 days","visa-free/90 days","visa-free/90 days","visa on arrival","visa required","Covid-19 ban","visa on arrival / eVisa/90 days","visa on arrival / eVisa","visa on arrival / eVisa","visa required","visa on arrival/45 days","eVisa","visa required","visa-free/30 days","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","visa required","visa-free/90 days","Covid-19 ban","visa required","eVisa/14 days","visa-free/90 days","visa-free/90 days","visa-free/90 days","visa required","visa required","visa-free/90 days","visa-free/90 days","visa-free/90 days","visa on arrival/90 days","Covid-19 ban","visa-free/90 days","visa required","eVisa/28 days","Covid-19 ban","Covid-19 ban","visa on arrival","visa-free/90 days","Covid-19 ban","visa on arrival/30 days","visa on arrival / eVisa/30 days","visa required","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","visa required","pre-visa on arrival","visa required","visa-free/90 days","visa-free/90 days","visa on arrival/90 days","visa required","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","eVisa","visa-free/90 days","visa-free","visa-free/90 days","visa on arrival/30 days","Covid-19 ban","eVisa","visa-free/90 days","visa-free/90 days","Covid-19 ban","visa on arrival / eVisa/30 days","Covid-19 ban","Covid-19 ban","tourist registration/90 days","visa required","visa-free/90 days","visa-free/30 days","visa-free/90 days","visa-free/90 days","visa required","visa-free/90 days","visa on arrival/30 days","visa on arrival/30 days","eVisa","eVisa","eVisa","visa-free/90 days","visa required","Covid-19 ban","visa required","visa on arrival/7 days","Covid-19 ban","eVisa","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","visa-free/90 days","visa-free/30 days","visa on arrival/30 days","Covid-19 ban","visa on arrival / eVisa","visa-free/90 days","visa on arrival / eVisa","Covid-19 ban","Covid-19 ban","eVisa/30 days","visa-free/90 days","visa-free/30 days","visa required","Covid-19 ban","visa required","visa on arrival/60 days","visa-free/90 days","visa required","visa required","visa on arrival / eVisa/90 days","visa on arrival/28 days"
"6","AM","Covid-19 ban","eVisa","visa required","visa-free/180 days","visa-free/90 days",NA,"pre-visa on arrival","Covid-19 ban","Covid-19 ban","eVisa","not admitted","visa required","visa-free/28 days","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","eVisa","visa required","eVisa","Covid-19 ban","visa on arrival / eVisa/90 days","visa-free/90 days","Covid-19 ban","visa required","Covid-19 ban","visa-free","visa required","Covid-19 ban","visa required","visa required","visa required","Covid-19 ban","pre-enrollment","Covid-19 ban","visa required","visa required","eVisa","Covid-19 ban","tourist card/30 days","visa on arrival (EASE)","Covid-19 ban","Covid-19 ban","Covid-19 ban","eVisa","Covid-19 ban","visa-free/21 days","visa required","visa required","visa-free/90 days","Covid-19 ban","visa required","visa required","Covid-19 ban","eVisa","Covid-19 ban","Covid-19 ban","visa-free/30 days","Covid-19 ban","eVisa","visa required","visa required","Covid-19 ban","visa required","visa-free/90 days","eVisa/90 days","visa required","Covid-19 ban","visa required","visa on arrival / eVisa/90 days","visa required","Covid-19 ban","visa required","Covid-19 ban","visa-free/90 days","Covid-19 ban","Covid-19 ban","visa required","Covid-19 ban","eVisa","visa required","visa-free/90 days","Covid-19 ban","Covid-19 ban","visa on arrival","visa on arrival","Covid-19 ban","visa required","visa-free","visa on arrival / eVisa","visa required","visa on arrival/45 days","eVisa","visa required","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa on arrival/30 days","visa required","Covid-19 ban","Covid-19 ban","visa required","eVisa/14 days","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","visa required","Covid-19 ban","visa-free/90 days","Covid-19 ban","visa on arrival/90 days","Covid-19 ban","visa required","visa required","visa required","Covid-19 ban","Covid-19 ban","visa on arrival","Covid-19 ban","Covid-19 ban","visa on arrival/30 days","visa on arrival / eVisa/30 days","visa required","Covid-19 ban","visa on arrival/30 days","visa-free/90 days","visa required","pre-visa on arrival","visa required","Covid-19 ban","Covid-19 ban","visa on arrival/90 days","visa required","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","Covid-19 ban","visa-free","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","visa on arrival / eVisa","Covid-19 ban","visa-free/90 days","Covid-19 ban","visa on arrival / eVisa/30 days","Covid-19 ban","Covid-19 ban","tourist registration/90 days","visa required","Covid-19 ban","eVisa","Covid-19 ban","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","visa on arrival/90 days","visa on arrival/30 days","eVisa","eVisa","eVisa","visa required","visa required","Covid-19 ban","visa required","visa on arrival/7 days","Covid-19 ban","visa-free/90 days","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","eVisa/30 days","visa required","visa on arrival/30 days","Covid-19 ban","visa on arrival / eVisa","visa-free","visa on arrival / eVisa","Covid-19 ban","Covid-19 ban","visa-free","Covid-19 ban","visa-free/30 days","visa required","Covid-19 ban","visa required","visa on arrival/60 days","Covid-19 ban","visa required","visa required","eVisa","visa on arrival/90 days"
"7","AO","Covid-19 ban","eVisa","visa required","eVisa","visa required","Covid-19 ban",NA,"Covid-19 ban","Covid-19 ban","eVisa","Covid-19 ban","visa required","visa required","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","eVisa","visa required","visa-free/90 days","Covid-19 ban","visa on arrival / eVisa/90 days","visa required","Covid-19 ban","visa required","Covid-19 ban","visa required","visa required","Covid-19 ban","visa required","visa required","visa required","Covid-19 ban","pre-enrollment","Covid-19 ban","visa required","visa required","eVisa","Covid-19 ban","tourist card/30 days","visa-free (EASE)","Covid-19 ban","Covid-19 ban","Covid-19 ban","eVisa","Covid-19 ban","visa-free/21 days","visa required","visa required","eVisa","Covid-19 ban","visa required","visa required","Covid-19 ban","visa on arrival / eVisa/90 days","Covid-19 ban","Covid-19 ban","visa-free/30 days","Covid-19 ban","eVisa","visa required","visa required","eVisa","visa on arrival/30 days","visa-free/90 days","eVisa/90 days","visa required","Covid-19 ban","visa required","visa on arrival / eVisa/90 days","visa required","Covid-19 ban","visa required","Covid-19 ban","visa-free/90 days","Covid-19 ban","Covid-19 ban","visa required","Covid-19 ban","eVisa","visa required","eVisa/30 days","Covid-19 ban","Covid-19 ban","visa required","visa required","Covid-19 ban","visa on arrival / eVisa/90 days","eVisa","visa on arrival / eVisa","visa required","visa on arrival/45 days","eVisa","visa required","Covid-19 ban","Covid-19 ban","eVisa","Covid-19 ban","visa required","visa required","Covid-19 ban","Covid-19 ban","visa required","eVisa/14 days","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","visa required","Covid-19 ban","eVisa","Covid-19 ban","visa on arrival / eVisa/90 days","Covid-19 ban","visa required","visa required","visa required","Covid-19 ban","Covid-19 ban","visa on arrival","Covid-19 ban","Covid-19 ban","visa on arrival/30 days","eVisa/90 days","visa required","Covid-19 ban","visa-free/30 days","visa-free/90 days","visa required","pre-visa on arrival","visa on arrival/30 days","Covid-19 ban","Covid-19 ban","visa on arrival/90 days","visa required","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa on arrival / eVisa/90 days","Covid-19 ban","visa required","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","eVisa","Covid-19 ban","visa required","Covid-19 ban","visa-free/90 days","Covid-19 ban","Covid-19 ban","tourist registration/90 days","visa required","Covid-19 ban","visa-free/30 days","Covid-19 ban","Covid-19 ban","visa required","Covid-19 ban","visa on arrival/30 days","visa on arrival/30 days","eVisa","eVisa","visa-free","visa required","visa required","Covid-19 ban","visa required","visa on arrival/7 days","Covid-19 ban","eVisa","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","visa required","visa required","visa on arrival/30 days","Covid-19 ban","visa on arrival / eVisa","visa required","visa-free/90 days","Covid-19 ban","Covid-19 ban","eVisa/30 days","Covid-19 ban","visa-free/30 days","visa required","Covid-19 ban","visa required","visa on arrival/60 days","Covid-19 ban","visa required","visa-free/30 days","visa-free/30 days","visa-free/90 days"
"8","AR","Covid-19 ban","visa-free/90 days","visa required","visa-free/180 days","visa-free/90 days","Covid-19 ban","pre-visa on arrival",NA,"Covid-19 ban","eVisa","Covid-19 ban","visa-free/90 days","visa-free","Covid-19 ban","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","visa on arrival / eVisa/30 days","visa required","eVisa","Covid-19 ban","visa-free/90 days","visa-free/90 days","Covid-19 ban","visa required","Covid-19 ban","visa-free/30 days","visa-free/90 days","Covid-19 ban","visa required","visa required","visa required","Covid-19 ban","pre-enrollment","Covid-19 ban","visa required","visa required","visa-free/90 days","Covid-19 ban","tourist card/30 days","visa on arrival (EASE)","Covid-19 ban","Covid-19 ban","Covid-19 ban","eVisa","Covid-19 ban","visa-free/180 days","visa-free","visa required","visa-free/90 days","Covid-19 ban","visa on arrival / eVisa/30 days","visa required","Covid-19 ban","visa on arrival / eVisa","Covid-19 ban","Covid-19 ban","visa-free/30 days","Covid-19 ban","visa on arrival / eVisa/90 days","visa-free/180 days","visa-free/30 days","Covid-19 ban","visa required","visa required","eVisa/90 days","visa required","Covid-19 ban","visa-free/90 days","visa on arrival / eVisa/90 days","visa-free/90 days","Covid-19 ban","visa-free/90 days","Covid-19 ban","visa-free/90 days","Covid-19 ban","Covid-19 ban","visa-free","Covid-19 ban","eVisa","visa required","eVisa/30 days","Covid-19 ban","Covid-19 ban","eTA/30 days","visa on arrival","Covid-19 ban","visa on arrival / eVisa/90 days","Covid-19 ban","visa on arrival / eVisa","visa required","visa on arrival/45 days","visa-free/90 days","visa required","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa on arrival/30 days","visa-free/42 days","Covid-19 ban","Covid-19 ban","visa required","eVisa/14 days","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","visa-free/90 days","Covid-19 ban","visa-free/90 days","Covid-19 ban","visa on arrival / eVisa/90 days","Covid-19 ban","visa-free/90 days","visa required","eVisa/28 days","Covid-19 ban","Covid-19 ban","visa on arrival","Covid-19 ban","Covid-19 ban","visa on arrival/30 days","visa on arrival / eVisa/30 days","visa-free/180 days","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","visa required","pre-visa on arrival","visa-free/90 days","Covid-19 ban","Covid-19 ban","visa on arrival/90 days","visa required","Covid-19 ban","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa on arrival / eVisa","Covid-19 ban","visa on arrival / eVisa/90 days","Covid-19 ban","visa-free","Covid-19 ban","visa on arrival/30 days","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa-free/90 days","Covid-19 ban","visa on arrival / eVisa/30 days","Covid-19 ban","Covid-19 ban","tourist registration/90 days","visa required","Covid-19 ban","visa-free/30 days","Covid-19 ban","Covid-19 ban","visa required","Covid-19 ban","visa on arrival/30 days","visa on arrival/30 days","visa-free/90 days","eVisa","eVisa","visa-free/90 days","visa required","Covid-19 ban","visa required","visa on arrival/7 days","visa-free/90 days","visa on arrival / eVisa/45 days","Covid-19 ban","Covid-19 ban","Covid-19 ban","visa required","visa-free/90 days","visa-free/90 days","visa on arrival/30 days","Covid-19 ban","visa on arrival / eVisa","visa-free/90 days","visa on arrival / eVisa","Covid-19 ban","Covid-19 ban","visa-free/30 days","Covid-19 ban","visa-free/30 days","visa-free/90 days","Covid-19 ban","visa-free/30 days","visa on arrival/60 days","visa-free/90 days","visa required","visa-free/90 days","visa on arrival / eVisa/90 days","visa on arrival/90 days"
